AnnotationAccession,SeqID,Plasmid_Length,Genus,Kingdom,Annotation,isolation_source
GCF_016903195.1_ASM1690319v1,NZ_CP069845.1,53443,Klebsiella,Bacteria,Humans,
GCF_031889005.1_ASM3188900v1,NZ_CP134732.1,78454,Pantoea,Bacteria,,
GCF_003798205.1_ASM379820v1,NZ_CP033692.1,101615,Yersinia,Bacteria,Humans,UCC isolate
GCF_020735625.1_ASM2073562v1,NZ_CP085956.1,190216,Finegoldia,Bacteria,Unannotated,
GCF_017347565.1_ASM1734756v1,NZ_AP024146.1,153568,Methylobacterium,Bacteria,Unannotated,
GCF_016903395.1_ASM1690339v1,NZ_CP069906.1,27963,Klebsiella,Bacteria,Humans,
GCF_016728805.1_ASM1672880v1,NZ_CP068203.1,22110,Acinetobacter,Bacteria,Unannotated,
GCF_023375305.1_ASM2337530v1,NZ_CP091202.1,53013,Enterococcus,Bacteria,Humans,fecal sample
GCF_013822985.1_ASM1382298v1,NZ_CP054154.1,138497,Streptococcus,Bacteria,Humans,oral
GCF_003073835.1_ASM307383v1,NZ_CP029117.1,120846,Escherichia,Bacteria,Unannotated,
GCF_016728805.1_ASM1672880v1,NZ_CP068207.1,125247,Acinetobacter,Bacteria,Unannotated,
GCF_030063845.1_ASM3006384v1,NZ_CP124363.1,161776,Escherichia,Bacteria,,
GCF_014069095.1_ASM1406909v1,NZ_CP059687.1,27601,Acinetobacter,Bacteria,,
GCF_002278115.2_ASM227811v2,NZ_CP023145.1,87173,Escherichia,Bacteria,Food,Raw milk cheese
GCF_000769405.2_CC275e2020,NZ_CP053444.1,154225,Rhizobium,Bacteria,Earth,soil
GCF_003798205.1_ASM379820v1,NZ_CP033693.1,113378,Yersinia,Bacteria,Humans,UCC isolate
GCF_016629465.1_ASM1662946v1,NZ_AP024223.1,81692,Lactococcus,Bacteria,Unannotated,
GCF_016403185.1_ASM1640318v1,NZ_CP066281.1,51224,Enterobacter,Bacteria,,
GCF_016403185.1_ASM1640318v1,NZ_CP066279.1,90793,Enterobacter,Bacteria,,
GCF_019434315.1_ASM1943431v1,NZ_CP060001.1,94653,Xanthomonas,Bacteria,Plants,leaf[PO:0006001]
GCF_947163785.1_KP47_2018-047100-007-01,NZ_OX359176.1,141822,Klebsiella,Bacteria,Humans,
GCF_024734135.1_ASM2473413v1,NZ_CP102871.1,134407,Klebsiella,Bacteria,Animals,
GCF_016728805.1_ASM1672880v1,NZ_CP068208.1,44804,Acinetobacter,Bacteria,Unannotated,
GCF_010365425.1_ASM1036542v1,NZ_CP048331.1,129675,Escherichia,Bacteria,Unannotated,environment
GCF_019976755.1_ASM1997675v1,NZ_AP023444.1,58668,Nostoc,Bacteria,Water,water
GCF_018889915.1_ASM1888991v1,NZ_CP076560.1,56747,Sphingobium,Bacteria,Water,La Roche-Posay thermal water
GCF_016647595.1_ASM1664759v1,NZ_CP059830.1,65362,Lactobacillus,Bacteria,Humans,gut mucosa
GCF_010365265.1_ASM1036526v1,NZ_CP048284.1,288152,Rhizobium,Bacteria,Plants,nodules
GCF_030036925.1_ASM3003692v1,NZ_CP124484.1,137093,Escherichia,Bacteria,Human-impacted,environmental: river near WWTP effluent
GCF_030053155.1_ASM3005315v1,NZ_CP125646.1,127889,Rhizobium,Bacteria,Plants,
GCF_034642855.1_ASM3464285v1,NZ_CP141081.1,134237,Escherichia,Bacteria,,
GCF_034642955.1_ASM3464295v1,NZ_CP141082.1,127487,Escherichia,Bacteria,,
GCF_020525705.1_ASM2052570v1,NZ_CP084771.1,224856,Klebsiella,Bacteria,Water,
GCF_013267795.1_ASM1326779v1,NZ_CP053936.1,56203,Bacillus,Bacteria,Unannotated,
GCF_014170735.1_ASM1417073v1,NZ_CP059930.1,99943,Escherichia,Bacteria,Livestock,
GCF_016889165.1_ASM1688916v1,NZ_CP069479.1,3125,Staphylococcus,Bacteria,Unannotated,
GCF_001548175.1_ASM154817v1,NZ_AP014868.1,54355,Bacillus,Bacteria,Unannotated,
GCF_020525965.1_ASM2052596v1,NZ_CP084832.1,131535,Klebsiella,Bacteria,Water,
GCF_013267795.1_ASM1326779v1,NZ_CP053933.1,56203,Bacillus,Bacteria,Unannotated,
GCF_027886505.1_ASM2788650v1,NZ_CP115674.1,111387,Enterobacter,Bacteria,Humans,other
GCF_024158105.2_ASM2415810v2,NZ_CP102713.1,23208,Lacticaseibacillus,Bacteria,Humans,tongue coating
GCF_016458905.1_ASM1645890v1,NZ_CP066757.1,127648,Escherichia,Bacteria,Unannotated,
GCF_026506315.1_ASM2650631v1,NZ_CP097714.1,95875,Escherichia,Bacteria,Food,Chicken blood (Gallus gallus)
GCF_013318275.2_ASM1331827v2,NZ_CP116695.1,128118,Agrobacterium,Bacteria,Plants,
GCF_010365265.1_ASM1036526v1,NZ_CP048283.1,298312,Rhizobium,Bacteria,Plants,nodules
GCF_030062825.1_ASM3006282v1,NZ_CP114504.1,60340,Ligilactobacillus,Bacteria,Animals,Feces
GCF_024734135.1_ASM2473413v1,NZ_CP102873.1,111277,Klebsiella,Bacteria,Animals,
GCF_009938265.1_ASM993826v1,NZ_AP022320.1,243982,Burkholderia,Bacteria,Animals,Midgut crypts of stink bug Togo hemipterus
GCF_004358385.1_ASM435838v1,NZ_CP037942.1,157534,Escherichia,Bacteria,Unannotated,
GCF_016904495.1_ASM1690449v1,NZ_CP070137.1,37228,Escherichia,Bacteria,Humans,
GCF_024717335.1_ASM2471733v1,NZ_CP094960.1,43381,Lacticaseibacillus,Bacteria,Humans,
GCF_032594475.1_ASM3259447v1,NZ_CP135135.1,47863,Xylella,Bacteria,,
GCF_020628735.1_ASM2062873v1,NZ_CP081474.1,31244,Vagococcus,Bacteria,Water,marine sponge
GCF_025559845.1_ASM2555984v1,NZ_CP048472.1,177576,Agrobacterium,Bacteria,Plants,crown gall
GCF_022227035.1_ASM2222703v1,NZ_CP089969.1,136759,Cereibacter,Bacteria,Water,Owen's River
GCF_022227035.1_ASM2222703v1,NZ_CP089968.1,177689,Cereibacter,Bacteria,Water,Owen's River
GCF_020341495.1_ASM2034149v1,NZ_CP084374.1,20065,Citrobacter,Bacteria,,
GCF_016903415.1_ASM1690341v1,NZ_CP069928.1,45379,Klebsiella,Bacteria,Humans,
GCF_016889085.1_ASM1688908v1,NZ_CP069452.1,109644,Escherichia,Bacteria,Humans,
GCF_009834225.1_ASM983422v1,NZ_CP047177.1,150009,Rathayibacter,Bacteria,Plants,plant
GCF_030505635.1_ASM3050563v1,NZ_CP130149.1,88744,Burkholderia,Bacteria,Plants,ENVO:00002160
GCF_029537195.1_ASM2953719v1,NZ_CP120634.1,113665,Escherichia,Bacteria,Humans,human clinical specimen
GCF_028752775.1_ASM2875277v1,NZ_CP115151.1,200030,Enterobacter,Bacteria,Humans,blood
GCF_017356665.1_ASM1735666v1,NZ_CP071523.1,49605,Escherichia,Bacteria,Humans,urine
GCF_019976755.1_ASM1997675v1,NZ_AP023442.1,307420,Nostoc,Bacteria,Water,water
GCF_003944565.2_ASM394456v2,NZ_CP040810.1,79936,Escherichia,Bacteria,Livestock,feces
GCF_025560205.1_ASM2556020v1,NZ_CP048512.1,175062,Agrobacterium,Bacteria,Plants,crown gall
GCF_002949935.1_ASM294993v1,NZ_CP026826.1,224352,Shigella,Bacteria,Humans,Clinical
GCF_030062825.1_ASM3006282v1,NZ_CP114503.1,14721,Ligilactobacillus,Bacteria,Animals,Feces
GCF_029223905.1_ASM2922390v1,NZ_CP119419.1,184420,Agrobacterium,Bacteria,Unannotated,
GCF_014170015.1_ASM1417001v1,NZ_CP054286.1,176330,Klebsiella,Bacteria,Humans,Rectal swab
GCF_017639085.1_ASM1763908v1,NZ_CP067262.1,98282,Klebsiella,Bacteria,Food,imported food: soy sprout
GCF_025560445.1_ASM2556044v1,NZ_CP048546.1,177579,Agrobacterium,Bacteria,Plants,crown gall
GCF_020628455.1_ASM2062845v1,NZ_CP081462.1,48594,Vagococcus,Bacteria,Water,marine sponge
GCF_022227035.1_ASM2222703v1,NZ_CP089970.1,121998,Cereibacter,Bacteria,Water,Owen's River
GCF_030053155.1_ASM3005315v1,NZ_CP125645.1,293100,Rhizobium,Bacteria,Plants,
GCF_025560125.1_ASM2556012v1,NZ_CP048500.1,209936,Agrobacterium,Bacteria,Plants,crown gall
GCF_003073815.1_ASM307381v1,NZ_CP029103.1,89643,Escherichia,Bacteria,Unannotated,
GCF_009720465.1_ASM972046v1,NZ_CP041960.1,98151,Escherichia,Bacteria,Humans,urine
GCF_013318335.2_ASM1331833v2,NZ_CP116703.1,106941,Agrobacterium,Bacteria,Plants,
GCF_022647665.1_ASM2264766v1,NZ_CP071873.1,27773,Streptomyces,Bacteria,Animals,head
GCF_003064165.2_ASM306416v2,NZ_CP077692.1,137180,Salmonella,Bacteria,Water,pond
GCF_016903195.1_ASM1690319v1,NZ_CP069849.1,40577,Klebsiella,Bacteria,Humans,
GCF_025560165.1_ASM2556016v1,NZ_CP048505.1,209960,Agrobacterium,Bacteria,Plants,crown gall
GCF_030037615.1_ASM3003761v1,NZ_CP124469.1,105196,Escherichia,Bacteria,Human-impacted,wastewater
GCF_001548175.1_ASM154817v1,NZ_AP014869.1,23773,Bacillus,Bacteria,Unannotated,
GCF_013389555.1_ASM1338955v1,NZ_CP058294.1,45596,Campylobacter,Bacteria,Livestock,cecal contents of broiler chicken
GCF_019263765.1_ASM1926376v1,NZ_CP076350.1,131593,Clavibacter,Bacteria,Plants,plant tissue
GCF_016458945.1_ASM1645894v1,NZ_CP066750.1,95598,Escherichia,Bacteria,Unannotated,
GCF_003944565.2_ASM394456v2,NZ_CP040809.1,80105,Escherichia,Bacteria,Livestock,feces
GCF_003073835.1_ASM307383v1,NZ_CP029119.1,35284,Escherichia,Bacteria,Unannotated,
GCF_009649055.1_ASM964905v1,NZ_CP045793.1,55123,Campylobacter,Bacteria,Food,chicken breast
GCF_002407145.1_ASM240714v1,NZ_CP023546.1,55122,Campylobacter,Bacteria,Food,chicken breast
GCF_024734135.1_ASM2473413v1,NZ_CP102874.1,65073,Klebsiella,Bacteria,Animals,
GCF_030053135.1_ASM3005313v1,NZ_CP125648.1,216650,Rhizobium,Bacteria,Plants,
GCF_016026995.1_ASM1602699v1,NZ_CP065676.1,54312,Clostridium,Bacteria,Unannotated,
GCF_034644215.1_ASM3464421v1,NZ_CP141094.1,72337,Escherichia,Bacteria,,
GCF_001692275.2_ASM169227v2,NZ_CP110834.1,69124,Agrobacterium,Bacteria,Plants,plant
GCF_004358405.1_ASM435840v1,NZ_CP037944.1,88848,Escherichia,Bacteria,Humans,stool
GCF_016888885.1_ASM1688888v1,NZ_CP069435.1,64967,Moraxella,Bacteria,Unannotated,
GCF_030515555.1_ASM3051555v1,NZ_CP082096.1,83519,Escherichia,Bacteria,Humans,CSF
GCF_016629465.1_ASM1662946v1,NZ_AP024224.1,61301,Lactococcus,Bacteria,Unannotated,
GCF_020221755.1_ASM2022175v1,NZ_CP084190.1,54673,Lactococcus,Bacteria,Unannotated,
GCF_003073835.1_ASM307383v1,NZ_CP029116.1,25348,Escherichia,Bacteria,Unannotated,
GCF_000832925.1_ASM83292v1,NZ_CP009718.1,56203,Bacillus,Bacteria,Unannotated,
GCF_013267555.1_ASM1326755v1,NZ_CP054002.1,91764,Bacteroides,Bacteria,Humans,transverse colon
GCF_002636375.1_ASM263637v1,NZ_CP023926.1,78541,Klebsiella,Bacteria,,
GCF_014170015.1_ASM1417001v1,NZ_CP054287.1,156980,Klebsiella,Bacteria,Humans,Rectal swab
GCF_019931045.1_ASM1993104v1,NZ_CP082866.1,14065,Cupriavidus,Bacteria,Unannotated,
GCF_029277625.1_ASM2927762v1,NZ_CP119539.1,214233,Agrobacterium,Bacteria,Unannotated,
GCF_029948145.1_ASM2994814v1,NZ_CP124123.1,113075,Enterobacter,Bacteria,Humans,other
GCF_016903235.1_ASM1690323v1,NZ_CP069856.1,17733,Klebsiella,Bacteria,Humans,
GCF_027944655.1_ASM2794465v1,NZ_CP116091.1,89020,Escherichia,Bacteria,Humans,ICU staff rectal swab
GCF_009756605.1_ASM975660v1,NZ_CP037880.1,40085,Salmonella,Bacteria,Humans,stool
GCF_019976755.1_ASM1997675v1,NZ_AP023443.1,303628,Nostoc,Bacteria,Water,water
GCF_027944635.1_ASM2794463v1,NZ_CP116086.1,87637,Escherichia,Bacteria,Humans,ICU staff rectal swab
GCF_016889905.1_ASM1688990v1,NZ_CP069560.1,67959,Escherichia,Bacteria,Humans,
GCF_027944635.1_ASM2794463v1,NZ_CP116087.1,81555,Escherichia,Bacteria,Humans,ICU staff rectal swab
GCF_003018055.1_ASM301805v1,NZ_CP027443.1,95157,Escherichia,Bacteria,Humans,Stool
GCF_027944675.1_ASM2794467v1,NZ_CP116096.1,86167,Escherichia,Bacteria,Humans,ICU staff rectal swab
GCF_020525565.1_ASM2052556v1,NZ_CP084778.1,151441,Klebsiella,Bacteria,Human-impacted,
GCF_030062785.1_ASM3006278v1,NZ_CP114548.1,47535,Ligilactobacillus,Bacteria,Animals,Feces
GCF_027943605.1_ASM2794360v1,NZ_AP019760.1,37319,Coxiella,Bacteria,Humans,serum
GCF_003491385.1_ASM349138v1,NZ_CP030360.1,76236,Salinibacter,Bacteria,Water,ENVO:00002006
GCF_016903815.1_ASM1690381v1,NZ_CP069970.1,39407,Escherichia,Bacteria,Humans,
GCF_002948475.1_ASM294847v1,NZ_CP026945.1,111068,Acinetobacter,Bacteria,,
GCF_031889005.1_ASM3188900v1,NZ_CP134730.1,206812,Pantoea,Bacteria,,
GCF_012049605.1_ASM1204960v1,NZ_CP050746.1,115084,Salmonella,Bacteria,Humans,Diarrheal patient
GCF_024734135.1_ASM2473413v1,NZ_CP102872.1,118931,Klebsiella,Bacteria,Animals,
GCF_019890895.1_ASM1989089v1,NZ_CP082361.1,150808,Klebsiella,Bacteria,Food,kimchi (fermented cabbage)
GCF_022433565.1_ASM2243356v1,NZ_CP067967.1,109782,Klebsiella,Bacteria,Humans,wound
GCF_005144405.2_ASM514440v2,NZ_CP116737.1,305334,Agrobacterium,Bacteria,Unannotated,
GCF_017639025.1_ASM1763902v1,NZ_CP067247.1,74070,Escherichia,Bacteria,Water,surface water
GCF_030036675.1_ASM3003667v1,NZ_CP124514.1,138219,Escherichia,Bacteria,Human-impacted,environmental: river near WWTP effluent
GCF_028898905.1_ASM2889890v1,NZ_CP118569.1,106270,Enterobacter,Bacteria,Humans,blood
GCF_023278185.1_ASM2327818v1,NZ_CP066357.1,402731,Bradyrhizobium,Bacteria,Plants,root nodules
GCF_005491085.2_ASM549108v2,NZ_CP027930.2,59203,Microbacterium,Bacteria,Earth,air
GCF_009696665.2_ASM969666v2,NZ_CP102354.1,141151,Paracoccus,Bacteria,Earth,Lotus pond; a sulfur-borax hot spring
GCF_030515175.1_ASM3051517v1,NZ_CP082046.1,114224,Escherichia,Bacteria,Humans,blood
GCF_019048265.1_ASM1904826v1,NZ_CP077313.1,23837,Aeromonas,Bacteria,Unannotated,
GCF_017638985.1_ASM1763898v1,NZ_CP067237.1,96901,Escherichia,Bacteria,Water,surface water
GCF_013177395.1_ASM1317739v1,NZ_CP053629.1,55801,Listeria,Bacteria,Food,food
GCF_016403875.2_ASM1640387v2,NZ_CP075664.1,118523,Escherichia,Bacteria,Humans,stool
GCF_030908565.1_ASM3090856v1,NZ_CP133103.1,154853,Escherichia,Bacteria,,
GCF_013318275.2_ASM1331827v2,NZ_CP116694.1,145563,Agrobacterium,Bacteria,Plants,
GCF_027886545.1_ASM2788654v1,NZ_CP115697.1,146783,Enterobacter,Bacteria,Humans,urine
GCF_000769405.2_CC275e2020,NZ_CP053445.1,142731,Rhizobium,Bacteria,Earth,soil
GCF_025560245.1_ASM2556024v1,NZ_CP048521.1,214233,Agrobacterium,Bacteria,Plants,crown gall
GCF_024917435.1_ASM2491743v1,NZ_CP103584.1,111561,Klebsiella,Bacteria,Humans,blood
GCF_030717765.1_ASM3071776v1,NZ_CP132057.1,194790,Agrobacterium,Bacteria,,
GCF_012052965.1_ASM1205296v1,NZ_CP050761.1,214820,Salmonella,Bacteria,Humans,Diarrheal patient
GCF_025560205.1_ASM2556020v1,NZ_CP048511.1,209960,Agrobacterium,Bacteria,Plants,crown gall
GCF_030039325.1_ASM3003932v1,NZ_CP124417.1,108564,Escherichia,Bacteria,Human-impacted,environmental: river near WWTP effluent
GCF_030908565.1_ASM3090856v1,NZ_CP133102.1,134388,Escherichia,Bacteria,,
GCF_030037615.1_ASM3003761v1,NZ_CP124468.1,109429,Escherichia,Bacteria,Human-impacted,wastewater
GCF_019973775.1_ASM1997377v1,NZ_AP025033.1,131777,Aureimonas,Bacteria,Unannotated,
GCF_030053155.1_ASM3005315v1,NZ_CP125644.1,326235,Rhizobium,Bacteria,Plants,
GCF_025987805.1_ASM2598780v1,NZ_CP104024.1,61198,Erwinia,Bacteria,Plants,branches
GCF_027944575.1_ASM2794457v1,NZ_CP116070.1,81965,Escherichia,Bacteria,Humans,ICU staff rectal swab
GCF_029987615.1_ASM2998761v1,NZ_CP124323.1,146628,Escherichia,Bacteria,Human-impacted,wastewater treatment plant efflux
GCF_029713965.1_ASM2971396v1,NZ_CP121596.1,70544,Acinetobacter,Bacteria,Humans,
GCF_027944655.1_ASM2794465v1,NZ_CP116090.1,90981,Escherichia,Bacteria,Humans,ICU staff rectal swab
GCF_014170615.1_ASM1417061v1,NZ_CP059910.1,99361,Escherichia,Bacteria,Livestock,
GCF_020628555.1_ASM2062855v1,NZ_CP081467.1,135254,Vagococcus,Bacteria,Water,marine sponge
GCF_016128015.1_ASM1612801v1,NZ_CP066052.1,61780,Brucella,Bacteria,Unannotated,
GCF_018889915.1_ASM1888991v1,NZ_CP076559.1,162057,Sphingobium,Bacteria,Water,La Roche-Posay thermal water
GCF_030037445.1_ASM3003744v1,NZ_CP124472.1,134675,Escherichia,Bacteria,Human-impacted,wastewater
GCF_020871915.1_ASM2087191v1,NZ_CP067077.1,39441,Rhizobium,Bacteria,Plants,
GCF_002073635.2_ASM207363v2,NZ_CP020443.2,130273,Paracoccus,Bacteria,Humans,Urine suprapubic aspirate
GCF_002968735.1_ASM296873v1,NZ_CP027133.1,97167,Escherichia,Bacteria,Unannotated,
GCF_003067925.2_ASM306792v2,NZ_CP077700.1,136494,Salmonella,Bacteria,Water,Pond
GCF_025559885.1_ASM2555988v1,NZ_CP048476.1,177577,Agrobacterium,Bacteria,Plants,crown gall
GCF_002151505.1_ASM215150v1,NZ_CP019757.1,31245,Borreliella,Bacteria,Animals,tick
GCF_007012305.1_ASM701230v1,NZ_CP041393.1,139547,Escherichia,Bacteria,Livestock,trach wash
GCF_025560125.1_ASM2556012v1,NZ_CP048499.1,386412,Agrobacterium,Bacteria,Plants,crown gall
GCF_000237975.1_ASM23797v1,NC_016888.1,84933,Sulfobacillus,Bacteria,Earth,coal spoil heap
GCF_030037445.1_ASM3003744v1,NZ_CP124474.1,91072,Escherichia,Bacteria,Human-impacted,wastewater
GCF_012052805.1_ASM1205280v1,NZ_CP050763.1,190597,Salmonella,Bacteria,Humans,Diarrheal patient
GCF_019930985.1_ASM1993098v1,NZ_CP082879.1,33797,Campylobacter,Bacteria,Unannotated,
GCF_019434315.1_ASM1943431v1,NZ_CP060000.1,137420,Xanthomonas,Bacteria,Plants,leaf[PO:0006001]
GCF_005144435.2_ASM514443v2,NZ_CP120213.1,132201,Agrobacterium,Bacteria,Unannotated,
GCF_016128015.1_ASM1612801v1,NZ_CP066054.1,101485,Brucella,Bacteria,Unannotated,
GCF_014170615.1_ASM1417061v1,NZ_CP059909.1,111912,Escherichia,Bacteria,Livestock,
GCF_030062785.1_ASM3006278v1,NZ_CP114546.1,33883,Ligilactobacillus,Bacteria,Animals,Feces
GCF_002105635.1_ASM210563v1,NZ_CP020829.1,67033,Listeria,Bacteria,Food,barbecue pork
GCF_946966015.1_ARGID_33072,NZ_OX337254.1,113119,Klebsiella,Bacteria,Unannotated,
GCF_023035295.1_ASM2303529v1,NZ_CP075092.1,29837,Borrelia,Bacteria,Animals,tick tissue
GCF_002741535.1_ASM274153v1,NZ_CP024271.1,103618,Escherichia,Bacteria,Unannotated,
GCF_013604545.1_ASM1360454v1,NZ_CP055422.1,335856,Citrobacter,Bacteria,Human-impacted,Wastewater effluent sample
GCF_026506315.1_ASM2650631v1,NZ_CP097713.1,122563,Escherichia,Bacteria,Food,Chicken blood (Gallus gallus)
GCF_009720465.1_ASM972046v1,NZ_CP041959.1,84917,Escherichia,Bacteria,Humans,urine
GCF_003288455.1_ASM328845v1,NZ_CP030336.1,16907,Escherichia,Bacteria,Unannotated,
GCF_009664305.1_ASM966430v1,NZ_CP035546.1,94581,Escherichia,Bacteria,Food,comminuted beef
GCF_013737455.1_ASM1373745v1,NZ_CP056511.1,62128,Citrobacter,Bacteria,Human-impacted,Wastewater influent sample
GCF_003949725.2_ASM394972v2,NZ_CP039932.1,55269,Acinetobacter,Bacteria,Humans,blood
GCF_022537925.1_ASM2253792v1,NZ_CP092390.1,50994,Priestia,Bacteria,Plants,estuarine plant
GCF_003074075.1_ASM307407v1,NZ_CP029140.1,114072,Klebsiella,Bacteria,Unannotated,
GCF_019973695.1_ASM1997369v1,NZ_AP024282.1,139475,Enterobacter,Bacteria,Humans,pleural effusion
GCF_022537925.1_ASM2253792v1,NZ_CP092388.1,134664,Priestia,Bacteria,Plants,estuarine plant
GCF_016070795.1_ASM1607079v1,NZ_CP053782.1,109462,Edwardsiella,Bacteria,Unannotated,
GCF_018085225.1_ASM1808522v1,NZ_CP072540.1,103129,Escherichia,Bacteria,Human-impacted,Cattle slaughter plant
GCF_020525965.1_ASM2052596v1,NZ_CP084834.1,109813,Klebsiella,Bacteria,Water,
GCF_027944575.1_ASM2794457v1,NZ_CP116068.1,98708,Escherichia,Bacteria,Humans,ICU staff rectal swab
GCF_027886545.1_ASM2788654v1,NZ_CP115698.1,76537,Enterobacter,Bacteria,Humans,urine
GCF_003288455.1_ASM328845v1,NZ_CP030340.1,34927,Escherichia,Bacteria,Unannotated,
GCF_001359015.2_129_0238,NZ_LT904889.1,65273,Salmonella,Bacteria,Unannotated,Not known
GCF_030515555.1_ASM3051555v1,NZ_CP082095.1,125677,Escherichia,Bacteria,Humans,CSF
GCF_020525645.1_ASM2052564v1,NZ_CP084857.1,167482,Klebsiella,Bacteria,Humans,feces
GCF_015694045.1_ASM1569404v1,NZ_CP065165.1,114132,Klebsiella,Bacteria,Humans,urine
GCF_017638965.1_ASM1763896v1,NZ_CP067234.1,95149,Escherichia,Bacteria,Water,surface water
GCF_016903815.1_ASM1690381v1,NZ_CP069975.1,41445,Escherichia,Bacteria,Humans,
GCF_027886505.1_ASM2788650v1,NZ_CP115673.1,146783,Enterobacter,Bacteria,Humans,other
GCF_016404405.2_ASM1640440v2,NZ_CP075629.1,100108,Escherichia,Bacteria,Humans,stool
GCF_016432805.1_ASM1643280v1,NZ_CP061109.1,112598,Escherichia,Bacteria,Humans,
GCF_030036875.1_ASM3003687v1,NZ_CP124491.1,143034,Escherichia,Bacteria,Human-impacted,environmental: river near WWTP effluent
GCF_008807315.1_ASM880731v1,NZ_CP042253.1,150432,Legionella,Bacteria,Humans,lung
GCF_002285655.1_ASM228565v1,NZ_CP023053.1,61919,Listeria,Bacteria,Human-impacted,environmental swab
GCF_025854095.1_ASM2585409v1,NZ_CP107600.1,110194,Acinetobacter,Bacteria,Humans,skin
GCF_009667855.1_ASM966785v1,NZ_CP034178.1,81814,Salmonella,Bacteria,Humans,
GCF_000742955.1_ASM74295v1,NZ_CP008817.1,155838,Brucella,Bacteria,Unannotated,
GCF_019046925.1_ASM1904692v1,NZ_CP077203.1,85668,Aeromonas,Bacteria,Unannotated,
GCF_025560545.1_ASM2556054v1,NZ_CP048567.1,209962,Agrobacterium,Bacteria,Plants,crown gall
GCF_011045375.1_ASM1104537v1,NZ_CP049162.1,50130,Pseudomonas,Bacteria,Humans,
GCF_025560485.1_ASM2556048v1,NZ_CP048554.1,252603,Agrobacterium,Bacteria,Plants,crown gall
GCF_016598855.1_ASM1659885v1,NZ_CP066874.1,105997,Klebsiella,Bacteria,,
GCF_019431295.1_ASM1943129v1,NZ_CP080229.1,74646,Escherichia,Bacteria,Livestock,clinical sample
GCF_013730235.1_ASM1373023v1,NZ_CP056151.1,201629,Klebsiella,Bacteria,Human-impacted,Wastewater influent sample
