plasmid_id,Plasmid_Length,host_taxonomy,ecosystem,Predicted_PCN,PCN,ecosystem_group,MOBF,MOBT,MOBH,MOBC,MOBQ,MOBP2,MOBP3,MOBV,MOBP1,MOBB,Total_mob_genes
IMGPR_plasmid_3300000279_000014,7295,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales,Host-associated;Mammals: Human;Digestive system;Large intestine;Fecal,2.691753332,13.75752809,Human_associated,0,0,0,0,0,0,0,1,0,0,1
IMGPR_plasmid_3300000279_000016,4182,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnospira,Host-associated;Mammals: Human;Digestive system;Large intestine;Fecal,2.770726445,14.97023129,Human_associated,0,0,0,0,1,0,0,0,0,0,1
IMGPR_plasmid_3300000279_000086,26128,,Host-associated;Mammals: Human;Digestive system;Large intestine;Fecal,1.112398166,2.041644021,Human_associated,1,0,0,0,0,0,0,0,0,0,1
IMGPR_plasmid_3300000280_000016,4878,,Host-associated;Mammals: Human;Digestive system;Large intestine;Fecal,3.362351175,27.85695893,Human_associated,0,0,0,0,0,0,0,0,1,0,2
IMGPR_plasmid_3300000280_000034,2879,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Roseburia,Host-associated;Mammals: Human;Digestive system;Large intestine;Fecal,3.103879723,21.28424047,Human_associated,0,0,0,0,0,0,0,0,0,0,0
IMGPR_plasmid_3300000280_000082,4575,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Anaerobutyricum;s__Anaerobutyricum hallii,Host-associated;Mammals: Human;Digestive system;Large intestine;Fecal,2.533228988,11.59410677,Human_associated,0,0,0,0,0,0,0,1,0,0,1
IMGPR_plasmid_3300000281_000002,5204,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae,Host-associated;Mammals: Human;Digestive system;Large intestine;Fecal,3.105183851,21.31332093,Human_associated,0,0,0,0,0,0,0,0,0,0,0
IMGPR_plasmid_3300000281_000003,5998,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia;s__Escherichia coli,Host-associated;Mammals: Human;Digestive system;Large intestine;Fecal,2.979074515,18.66960428,Human_associated,0,0,0,0,1,0,0,0,0,0,1
IMGPR_plasmid_3300000281_000004,5684,,Host-associated;Mammals: Human;Digestive system;Large intestine;Fecal,2.702507116,13.91708375,Human_associated,0,0,0,0,0,0,0,0,1,0,1
IMGPR_plasmid_3300000281_000006,4441,d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__Collinsella sp900540945,Host-associated;Mammals: Human;Digestive system;Large intestine;Fecal,3.133359591,21.95095599,Human_associated,0,0,0,0,0,0,0,0,0,0,0
IMGPR_plasmid_3300000281_000014,8431,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales,Host-associated;Mammals: Human;Digestive system;Large intestine;Fecal,2.280810892,8.784611457,Human_associated,0,0,0,0,0,0,0,0,0,1,1
IMGPR_plasmid_3300000282_000003,5648,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales,Host-associated;Mammals: Human;Digestive system;Large intestine;Fecal,2.207726267,8.095013233,Human_associated,0,0,0,0,0,0,0,0,0,0,0
IMGPR_plasmid_3300000282_000048,3180,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae,Host-associated;Mammals: Human;Digestive system;Large intestine;Fecal,3.049545551,20.10575075,Human_associated,0,0,0,0,0,0,0,1,0,0,1
IMGPR_plasmid_3300000282_000059,2226,,Host-associated;Mammals: Human;Digestive system;Large intestine;Fecal,3.424460784,29.70608317,Human_associated,0,0,0,0,0,0,0,0,0,0,0
IMGPR_plasmid_3300000283_000005,6800,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides;s__Parabacteroides distasonis,Host-associated;Mammals: Human;Digestive system;Large intestine;Fecal,2.281078076,8.787226096,Human_associated,0,0,0,0,0,0,0,0,0,1,1
IMGPR_plasmid_3300000283_000007,6777,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales,Host-associated;Mammals: Human;Digestive system;Large intestine;Fecal,2.697393524,13.84099856,Human_associated,0,0,0,0,0,0,0,1,0,0,1
IMGPR_plasmid_3300000283_000011,5927,d__Bacteria;p__Firmicutes_A;c__Clostridia,Host-associated;Mammals: Human;Digestive system;Large intestine;Fecal,2.68156456,13.60793042,Human_associated,0,0,0,0,0,0,0,0,1,0,1
IMGPR_plasmid_3300000283_000013,6239,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales,Host-associated;Mammals: Human;Digestive system;Large intestine;Fecal,2.485703756,11.00956909,Human_associated,0,0,0,0,0,0,0,0,0,1,1
IMGPR_plasmid_3300000283_000016,10486,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales,Host-associated;Mammals: Human;Digestive system;Large intestine;Fecal,2.041652872,6.7033313,Human_associated,0,0,0,0,0,0,0,0,0,0,0
IMGPR_plasmid_3300000283_000017,9445,d__Bacteria;p__Firmicutes_A;c__Clostridia,Host-associated;Mammals: Human;Digestive system;Large intestine;Fecal,2.573729238,12.11464098,Human_associated,0,0,0,0,0,0,0,0,0,0,0
IMGPR_plasmid_3300000283_000018,8592,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales,Host-associated;Mammals: Human;Digestive system;Large intestine;Fecal,2.448187474,10.56736157,Human_associated,0,0,0,0,0,0,0,0,0,0,0
IMGPR_plasmid_3300000283_000020,33600,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales,Host-associated;Mammals: Human;Digestive system;Large intestine;Fecal,1.278189877,2.590135255,Human_associated,0,0,0,0,0,0,0,0,1,0,1
IMGPR_plasmid_3300000283_000021,4202,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales,Host-associated;Mammals: Human;Digestive system;Large intestine;Fecal,2.763800199,14.85999973,Human_associated,0,0,0,0,0,0,0,0,1,0,1
IMGPR_plasmid_3300000283_000038,14514,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Anaerobutyricum;s__Anaerobutyricum hallii,Host-associated;Mammals: Human;Digestive system;Large intestine;Fecal,1.722412239,4.598015941,Human_associated,0,0,0,0,0,0,0,0,0,0,0
IMGPR_plasmid_3300000283_000045,14136,,Host-associated;Mammals: Human;Digestive system;Large intestine;Fecal,1.820100538,5.172478986,Human_associated,0,0,0,0,0,0,0,0,0,0,0
IMGPR_plasmid_3300000284_000001,6251,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales,Host-associated;Mammals: Human;Digestive system;Large intestine;Fecal,2.554761152,11.86822574,Human_associated,0,0,0,0,0,0,0,0,0,1,1
IMGPR_plasmid_3300000284_000025,38299,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Ruminococcus_E;s__Ruminococcus_E sp003526955,Host-associated;Mammals: Human;Digestive system;Large intestine;Fecal,1.347595134,2.848160085,Human_associated,0,0,0,0,0,0,0,0,0,0,0
IMGPR_plasmid_3300000285_000002,5897,d__Bacteria;p__Firmicutes_A;c__Clostridia,Host-associated;Mammals: Human;Digestive system;Large intestine;Fecal,2.718952918,14.16443552,Human_associated,0,0,0,0,0,0,0,0,1,0,1
IMGPR_plasmid_3300000285_000004,4202,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales,Host-associated;Mammals: Human;Digestive system;Large intestine;Fecal,3.113428116,21.49803823,Human_associated,0,0,0,0,0,0,0,0,1,0,1
IMGPR_plasmid_3300000285_000006,4840,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales,Host-associated;Mammals: Human;Digestive system;Large intestine;Fecal,2.816683456,15.72130168,Human_associated,0,0,0,0,0,0,0,0,1,0,1
IMGPR_plasmid_3300000285_000028,8608,d__Bacteria;p__Firmicutes_C;c__Negativicutes;o__Acidaminococcales;f__Acidaminococcaceae,Host-associated;Mammals: Human;Digestive system;Large intestine;Fecal,2.231217759,8.311197976,Human_associated,0,0,0,0,0,0,0,0,1,0,1
IMGPR_plasmid_3300000285_000121,4049,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__TANB77;f__CAG-508;g__CAG-273;s__CAG-273 sp003534295,Host-associated;Mammals: Human;Digestive system;Large intestine;Fecal,2.612294394,12.63028826,Human_associated,0,0,0,0,0,0,0,0,0,0,0
IMGPR_plasmid_3300000286_000010,15033,,Host-associated;Mammals: Human;Digestive system;Large intestine;Fecal,1.906206786,5.727521412,Human_associated,0,0,0,0,0,0,0,0,0,0,0
IMGPR_plasmid_3300000286_000011,4200,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales,Host-associated;Mammals: Human;Digestive system;Large intestine;Fecal,3.116987505,21.5782602,Human_associated,0,0,0,0,0,0,0,0,1,0,1
IMGPR_plasmid_3300000286_000014,4809,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__UBA1417;s__UBA1417 sp003531055,Host-associated;Mammals: Human;Digestive system;Large intestine;Fecal,3.079302329,20.74322749,Human_associated,0,0,0,0,0,0,0,0,0,0,0
IMGPR_plasmid_3300000286_000018,5872,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae,Host-associated;Mammals: Human;Digestive system;Large intestine;Fecal,2.618377649,12.71345748,Human_associated,0,0,0,0,0,0,0,0,1,0,1
IMGPR_plasmid_3300000287_000004,4192,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales,Host-associated;Mammals: Human;Digestive system;Large intestine;Fecal,2.823258724,15.83161097,Human_associated,0,0,0,0,0,0,0,0,1,0,1
IMGPR_plasmid_3300000287_000005,6251,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales,Host-associated;Mammals: Human;Digestive system;Large intestine;Fecal,2.535886822,11.62762434,Human_associated,0,0,0,0,0,0,0,0,0,1,1
IMGPR_plasmid_3300000287_000092,3552,d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales,Host-associated;Mammals: Human;Digestive system;Large intestine;Fecal,3.530007481,33.1242229,Human_associated,0,0,0,0,0,0,0,1,0,0,1
IMGPR_plasmid_3300000288_000009,6100,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales,Host-associated;Mammals: Human;Digestive system;Large intestine;Fecal,2.894122406,17.06763844,Human_associated,0,0,0,0,0,0,0,1,0,0,1
IMGPR_plasmid_3300000288_000022,16745,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae,Host-associated;Mammals: Human;Digestive system;Large intestine;Fecal,1.661979689,4.269732955,Human_associated,0,0,0,0,1,0,0,0,0,0,1
IMGPR_plasmid_3300000288_000030,9346,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus oralis,Host-associated;Mammals: Human;Digestive system;Large intestine;Fecal,2.046244416,6.738782812,Human_associated,0,0,0,0,0,0,0,1,0,0,1
IMGPR_plasmid_3300000288_000063,2793,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia;s__Escherichia coli,Host-associated;Mammals: Human;Digestive system;Large intestine;Fecal,3.562551462,34.25302926,Human_associated,0,0,0,0,0,0,0,0,0,0,0
IMGPR_plasmid_3300000289_000003,6251,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales,Host-associated;Mammals: Human;Digestive system;Large intestine;Fecal,2.572113602,12.0934696,Human_associated,0,0,0,0,0,0,0,0,0,1,1
IMGPR_plasmid_3300000289_000021,2759,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Ruthenibacterium;s__Ruthenibacterium lactatiformans,Host-associated;Mammals: Human;Digestive system;Large intestine;Fecal,3.564594257,34.32511759,Human_associated,0,0,0,0,0,0,0,0,0,0,0
IMGPR_plasmid_3300000289_000022,2789,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae,Host-associated;Mammals: Human;Digestive system;Large intestine;Fecal,3.609463286,35.94621794,Human_associated,0,0,0,0,0,0,0,1,0,0,1
IMGPR_plasmid_3300000289_000034,2096,,Host-associated;Mammals: Human;Digestive system;Large intestine;Fecal,3.484706409,31.61285088,Human_associated,0,0,0,0,0,0,0,1,0,0,1
IMGPR_plasmid_3300000289_000133,8525,,Host-associated;Mammals: Human;Digestive system;Large intestine;Fecal,2.186406196,7.903159345,Human_associated,0,0,0,0,0,0,0,0,0,0,0
IMGPR_plasmid_3300000290_000029,7470,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales,Host-associated;Mammals: Human;Digestive system;Large intestine;Fecal,2.308742409,9.061763114,Human_associated,0,0,0,0,0,0,0,0,0,1,1
IMGPR_plasmid_3300000290_000030,8193,,Host-associated;Mammals: Human;Digestive system;Large intestine;Fecal,2.25851097,8.56883028,Human_associated,0,0,0,0,0,0,0,0,0,0,0
IMGPR_plasmid_3300000290_000182,2827,d__Bacteria;p__Firmicutes_A;c__Clostridia,Host-associated;Mammals: Human;Digestive system;Large intestine;Fecal,3.516238628,32.65759135,Human_associated,0,0,0,0,0,0,0,1,0,0,1
IMGPR_plasmid_3300000291_000001,5347,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae,Host-associated;Mammals: Human;Digestive system;Large intestine;Fecal,2.895332971,17.08952372,Human_associated,0,0,0,0,0,0,0,0,0,0,0
IMGPR_plasmid_3300000291_000003,6436,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales,Host-associated;Mammals: Human;Digestive system;Large intestine;Fecal,2.508210855,11.28293444,Human_associated,0,0,0,0,0,0,0,0,0,0,0
IMGPR_plasmid_3300000291_000009,8983,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales,Host-associated;Mammals: Human;Digestive system;Large intestine;Fecal,2.23548229,8.350990655,Human_associated,0,0,0,0,0,0,0,0,0,1,1
IMGPR_plasmid_3300000292_000001,5217,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia;s__Escherichia coli,Host-associated;Mammals: Human;Digestive system;Large intestine;Fecal,2.874677436,16.71970746,Human_associated,0,0,0,0,1,0,0,0,0,0,1
IMGPR_plasmid_3300000292_000002,5203,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae,Host-associated;Mammals: Human;Digestive system;Large intestine;Fecal,2.77748117,15.07847097,Human_associated,0,0,0,0,0,0,0,0,0,0,0
IMGPR_plasmid_3300000292_000005,46126,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia,Host-associated;Mammals: Human;Digestive system;Large intestine;Fecal,1.119687222,2.063895734,Human_associated,0,0,0,0,0,0,0,0,1,0,1
IMGPR_plasmid_3300000292_000008,4192,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales,Host-associated;Mammals: Human;Digestive system;Large intestine;Fecal,2.84324727,16.1714354,Human_associated,0,0,0,0,0,0,0,0,1,0,1
IMGPR_plasmid_3300000292_000011,4141,,Host-associated;Mammals: Human;Digestive system;Large intestine;Fecal,2.727812237,14.29937896,Human_associated,0,0,0,0,1,0,0,0,0,0,1
IMGPR_plasmid_3300000292_000018,2329,,Host-associated;Mammals: Human;Digestive system;Large intestine;Fecal,4.08016319,58.15512258,Human_associated,0,0,0,0,0,0,0,0,0,0,0
IMGPR_plasmid_3300000292_000036,2037,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia;s__Escherichia coli,Host-associated;Mammals: Human;Digestive system;Large intestine;Fecal,4.004567675,53.84810704,Human_associated,0,0,0,0,0,0,0,0,0,0,0
IMGPR_plasmid_3300000292_000074,2930,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae,Host-associated;Mammals: Human;Digestive system;Large intestine;Fecal,3.169655061,22.79927365,Human_associated,0,0,0,0,0,0,0,1,0,0,1
IMGPR_plasmid_3300000293_000011,10888,d__Bacteria;p__Firmicutes_A;c__Clostridia,Host-associated;Mammals: Human;Digestive system;Large intestine;Fecal,1.881044666,5.560354662,Human_associated,0,0,0,0,0,0,0,0,0,0,0
IMGPR_plasmid_3300000293_000163,8253,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Anaerobutyricum;s__Anaerobutyricum hallii,Host-associated;Mammals: Human;Digestive system;Large intestine;Fecal,2.146393409,7.553952089,Human_associated,0,0,0,0,0,0,0,0,0,0,0
IMGPR_plasmid_3300000294_000001,5757,d__Bacteria;p__Firmicutes_A;c__Clostridia,Host-associated;Mammals: Human;Digestive system;Large intestine;Fecal,2.957092586,18.24194604,Human_associated,0,0,0,0,0,0,0,1,0,0,1
IMGPR_plasmid_3300000294_000003,33602,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales,Host-associated;Mammals: Human;Digestive system;Large intestine;Fecal,1.278189877,2.590135255,Human_associated,0,0,0,0,0,0,0,0,1,0,1
IMGPR_plasmid_3300000294_000004,4202,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales,Host-associated;Mammals: Human;Digestive system;Large intestine;Fecal,3.136386925,22.02054148,Human_associated,0,0,0,0,0,0,0,0,1,0,1
IMGPR_plasmid_3300000294_000005,11744,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales,Host-associated;Mammals: Human;Digestive system;Large intestine;Fecal,2.037330763,6.670108509,Human_associated,0,0,0,0,0,0,0,0,0,1,1
IMGPR_plasmid_3300000294_000008,6401,d__Bacteria;p__Firmicutes_A;c__Clostridia,Host-associated;Mammals: Human;Digestive system;Large intestine;Fecal,2.778591142,15.09632753,Human_associated,0,0,0,0,0,0,0,1,0,0,1
IMGPR_plasmid_3300000294_000009,6399,d__Bacteria;p__Firmicutes_A;c__Clostridia,Host-associated;Mammals: Human;Digestive system;Large intestine;Fecal,2.762254265,14.83550015,Human_associated,0,0,0,0,0,0,0,1,0,0,1
IMGPR_plasmid_3300000294_000108,3420,d__Bacteria;p__Actinobacteriota,Host-associated;Mammals: Human;Digestive system;Large intestine;Fecal,3.541619765,33.52279275,Human_associated,0,0,0,0,0,0,0,1,0,0,1
IMGPR_plasmid_3300000295_000006,2207,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae,Host-associated;Mammals: Human;Digestive system;Large intestine;Fecal,3.095182212,21.09126346,Human_associated,0,0,0,0,0,0,0,0,0,0,0
