plasmid_id,Plasmid_Length,host_taxonomy,ecosystem,Predicted_PCN,PCN,ecosystem_group,Antitoxin CcdA,Antitoxin DinJ,Antitoxin HigA1,Antitoxin LsoB,Antitoxin MazE,Antitoxin VapB,Antitoxin VapB2,Antitoxin YefM,Antitoxin YobK,Antitoxin YokJ,Antitoxin epsilon,Endoribonuclease toxin MazF,Putative toxin HigB2,Toxin CcdB,Toxin HigB-1,Toxin HigB-2,Toxin PezT,Toxin RTX-I translocation ATP-binding protein,Toxin RelG,Toxin RelK,Toxin YoeB,Toxin zeta,mRNA interferase toxin RelE,mRNA interferase toxin YafQ
IMGPR_plasmid_3300006298_000005,6040,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales,Host-associated;Mammals: Human;Digestive system;Large intestine;Fecal,2.816166466,15.71265916,Human_associated,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
IMGPR_plasmid_3300006298_000007,9571,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales,Host-associated;Mammals: Human;Digestive system;Large intestine;Fecal,2.034014325,6.644713207,Human_associated,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
IMGPR_plasmid_3300006299_000001,5782,d__Bacteria;p__Firmicutes_A;c__Clostridia,Host-associated;Mammals: Human;Digestive system;Large intestine;Fecal,2.964336981,18.38184844,Human_associated,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
IMGPR_plasmid_3300006312_000001,6119,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales,Host-associated;Mammals: Human;Digestive system;Large intestine;Fecal,2.871211515,16.65839865,Human_associated,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
IMGPR_plasmid_3300006312_000006,10511,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales,Host-associated;Mammals: Human;Digestive system;Large intestine;Fecal,2.039997502,6.690589984,Human_associated,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
IMGPR_plasmid_3300006523_000020,4978,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales,Host-associated;Mammals: Human;Digestive system;Large intestine;Fecal,3.007979851,19.24645773,Human_associated,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
IMGPR_plasmid_3300006525_000003,6060,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales,Host-associated;Mammals: Human;Digestive system;Large intestine;Fecal,2.858438417,16.43428059,Human_associated,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
IMGPR_plasmid_3300006525_000007,9432,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales,Host-associated;Mammals: Human;Digestive system;Large intestine;Fecal,2.018241563,6.525080911,Human_associated,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IMGPR_plasmid_3300006568_000007,6155,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales,Host-associated;Mammals: Human;Digestive system;Large intestine;Fecal,2.759176525,14.78683754,Human_associated,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
IMGPR_plasmid_3300006568_000017,12706,,Host-associated;Mammals: Human;Digestive system;Large intestine;Fecal,1.772378973,4.884836586,Human_associated,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
IMGPR_plasmid_3300006568_000018,12032,d__Bacteria;p__Firmicutes_A;c__Clostridia,Host-associated;Mammals: Human;Digestive system;Large intestine;Fecal,2.204769946,8.068165156,Human_associated,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
IMGPR_plasmid_3300006747_000016,12042,d__Bacteria;p__Firmicutes_A;c__Clostridia,Host-associated;Mammals: Human;Digestive system;Large intestine;Fecal,2.200569185,8.030151868,Human_associated,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
IMGPR_plasmid_3300006747_000018,4903,d__Bacteria;p__Firmicutes_A;c__Clostridia,Host-associated;Mammals: Human;Digestive system;Large intestine;Fecal,2.942994543,17.97257552,Human_associated,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
IMGPR_plasmid_3300007043_000003,6041,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales,Host-associated;Mammals: Human;Digestive system;Large intestine;Fecal,2.811557877,15.6358146,Human_associated,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
IMGPR_plasmid_3300007043_000008,11974,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales,Host-associated;Mammals: Human;Digestive system;Large intestine;Fecal,1.914256766,5.781896384,Human_associated,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IMGPR_plasmid_3300007098_000008,5650,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales,Host-associated;Mammals: Human;Digestive system;Large intestine;Fecal,2.910953519,17.37431047,Human_associated,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
IMGPR_plasmid_3300007105_000009,8430,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales,Host-associated;Mammals: Human;Digestive system;Large intestine;Fecal,2.093970809,7.117082643,Human_associated,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IMGPR_plasmid_3300007105_000011,12200,,Host-associated;Mammals: Human;Digestive system;Large intestine;Fecal,1.937505657,5.941415087,Human_associated,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
IMGPR_plasmid_3300007111_000005,6107,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales,Host-associated;Mammals: Human;Digestive system;Large intestine;Fecal,2.844260812,16.18884818,Human_associated,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
IMGPR_plasmid_3300007111_000006,7177,,Host-associated;Mammals: Human;Digestive system;Large intestine;Fecal,2.647200713,13.11447283,Human_associated,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
IMGPR_plasmid_3300007111_000092,3643,,Host-associated;Mammals: Human;Digestive system;Large intestine;Fecal,3.401269533,29.00216462,Human_associated,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
IMGPR_plasmid_3300007288_000027,5837,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae,Host-associated;Mammals: Human;Digestive system;Large intestine;Fecal,2.760132748,14.80194048,Human_associated,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IMGPR_plasmid_3300007292_000003,6452,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales,Host-associated;Mammals: Human;Digestive system;Large intestine;Fecal,2.784473201,15.19128608,Human_associated,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
IMGPR_plasmid_3300007296_000017,9850,,Host-associated;Mammals: Human;Digestive system;Large intestine;Fecal,1.941095747,5.966380181,Human_associated,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IMGPR_plasmid_3300007298_000014,5374,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales,Host-associated;Mammals: Human;Digestive system;Large intestine;Fecal,2.851455544,16.31296328,Human_associated,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
IMGPR_plasmid_3300007299_000003,10935,d__Bacteria;p__Firmicutes_A;c__Clostridia,Host-associated;Mammals: Human;Digestive system;Large intestine;Fecal,1.879294352,5.548882026,Human_associated,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
IMGPR_plasmid_3300007299_000016,14176,,Host-associated;Mammals: Human;Digestive system;Large intestine;Fecal,1.682111941,4.376899684,Human_associated,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
IMGPR_plasmid_3300007353_000002,6140,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae,Host-associated;Mammals: Human;Digestive system;Large intestine;Fecal,2.826309698,15.88304219,Human_associated,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
IMGPR_plasmid_3300007353_000005,6101,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales,Host-associated;Mammals: Human;Digestive system;Large intestine;Fecal,2.920877202,17.55755905,Human_associated,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
IMGPR_plasmid_3300007353_000015,5426,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides,Host-associated;Mammals: Human;Digestive system;Large intestine;Fecal,2.474632189,10.8773377,Human_associated,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
IMGPR_plasmid_3300007356_000002,6172,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales,Host-associated;Mammals: Human;Digestive system;Large intestine;Fecal,2.889740145,16.98863456,Human_associated,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
IMGPR_plasmid_3300007361_000010,12958,,Host-associated;Mammals: Human;Digestive system;Large intestine;Fecal,1.757356121,4.797090309,Human_associated,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
IMGPR_plasmid_3300007361_000012,12040,d__Bacteria;p__Firmicutes_A;c__Clostridia,Host-associated;Mammals: Human;Digestive system;Large intestine;Fecal,2.191618322,7.949684876,Human_associated,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
IMGPR_plasmid_3300007362_000004,5789,d__Bacteria;p__Firmicutes_A;c__Clostridia,Host-associated;Mammals: Human;Digestive system;Large intestine;Fecal,2.960223049,18.30227663,Human_associated,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
IMGPR_plasmid_3300007501_000005,6105,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales,Host-associated;Mammals: Human;Digestive system;Large intestine;Fecal,2.822011273,15.81062745,Human_associated,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
IMGPR_plasmid_3300007524_000011,5355,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales,Host-associated;Mammals: Human;Digestive system;Large intestine;Fecal,2.912399817,17.40090442,Human_associated,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
IMGPR_plasmid_3300007524_000076,14062,,Host-associated;Mammals: Human;Digestive system;Large intestine;Fecal,1.787292479,4.973257829,Human_associated,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
IMGPR_plasmid_3300007530_000009,5218,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales,Host-associated;Mammals: Human;Digestive system;Large intestine;Fecal,2.931482166,17.75540853,Human_associated,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
IMGPR_plasmid_3300007530_000011,86147,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales,Host-associated;Mammals: Human;Digestive system;Large intestine;Fecal,0.87607753,1.401461547,Human_associated,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IMGPR_plasmid_3300007530_000014,12154,,Host-associated;Mammals: Human;Digestive system;Large intestine;Fecal,1.915075144,5.787448817,Human_associated,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
IMGPR_plasmid_3300007641_000006,8495,d__Bacteria;p__Firmicutes_A;c__Clostridia,Host-associated;Mammals: Human;Digestive system;Large intestine;Fecal,2.547434425,11.7742883,Human_associated,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IMGPR_plasmid_3300007641_000021,4973,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Eubacterium_R;s__Eubacterium_R sp000433975,Host-associated;Mammals: Human;Digestive system;Large intestine;Fecal,2.547171006,11.77092376,Human_associated,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
IMGPR_plasmid_3300007664_000004,6002,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales,Host-associated;Mammals: Human;Digestive system;Large intestine;Fecal,2.69164076,13.7558669,Human_associated,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
IMGPR_plasmid_3300007664_000013,12031,d__Bacteria;p__Firmicutes_A;c__Clostridia,Host-associated;Mammals: Human;Digestive system;Large intestine;Fecal,2.19579311,7.987126014,Human_associated,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
IMGPR_plasmid_3300007669_000003,6088,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales,Host-associated;Mammals: Human;Digestive system;Large intestine;Fecal,2.865835866,16.56372799,Human_associated,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
IMGPR_plasmid_3300007796_000003,6061,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales,Host-associated;Mammals: Human;Digestive system;Large intestine;Fecal,2.79975318,15.44058841,Human_associated,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
IMGPR_plasmid_3300007797_000010,12035,d__Bacteria;p__Firmicutes_A;c__Clostridia,Host-associated;Mammals: Human;Digestive system;Large intestine;Fecal,2.187593706,7.913738216,Human_associated,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
IMGPR_plasmid_3300007798_000005,5902,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales,Host-associated;Mammals: Human;Digestive system;Large intestine;Fecal,2.926003906,17.65294245,Human_associated,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
IMGPR_plasmid_3300007798_000017,13589,d__Bacteria;p__Firmicutes_A;c__Clostridia,Host-associated;Mammals: Human;Digestive system;Large intestine;Fecal,2.159707419,7.668601019,Human_associated,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
IMGPR_plasmid_3300007802_000006,3667,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales,Host-associated;Mammals: Human;Digestive system;Large intestine;Fecal,3.485153929,31.62744902,Human_associated,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
IMGPR_plasmid_3300007802_000033,6137,,Host-associated;Mammals: Human;Digestive system;Large intestine;Fecal,2.801322393,15.46640745,Human_associated,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
IMGPR_plasmid_3300007804_000001,6125,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales,Host-associated;Mammals: Human;Digestive system;Large intestine;Fecal,2.87576625,16.73901144,Human_associated,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
IMGPR_plasmid_3300007853_000003,6106,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales,Host-associated;Mammals: Human;Digestive system;Large intestine;Fecal,2.835971424,16.04695208,Human_associated,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
IMGPR_plasmid_3300007853_000036,46955,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Agathobacter;s__Agathobacter rectalis,Host-associated;Mammals: Human;Digestive system;Large intestine;Fecal,1.173509968,2.2333216,Human_associated,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IMGPR_plasmid_3300007921_000009,5231,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales,Host-associated;Mammals: Human;Digestive system;Large intestine;Fecal,2.936191777,17.84394755,Human_associated,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
IMGPR_plasmid_3300007921_000034,6033,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-83;s__CAG-83 sp000435975,Host-associated;Mammals: Human;Digestive system;Large intestine;Fecal,2.554452616,11.86425604,Human_associated,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
IMGPR_plasmid_3300007969_000003,6472,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales,Host-associated;Mammals: Human;Digestive system;Large intestine;Fecal,2.80045252,15.45208999,Human_associated,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
IMGPR_plasmid_3300007991_000001,5762,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales,Host-associated;Mammals: Human;Digestive system;Large intestine;Fecal,2.900480021,17.18287144,Human_associated,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
IMGPR_plasmid_3300007991_000062,15109,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__UBA1417;s__UBA1417 sp003531055,Host-associated;Mammals: Human;Digestive system;Large intestine;Fecal,1.749978188,4.754477161,Human_associated,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
IMGPR_plasmid_3300008060_000004,6432,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales,Host-associated;Mammals: Human;Digestive system;Large intestine;Fecal,2.814093576,15.67805153,Human_associated,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
IMGPR_plasmid_3300008063_000002,12522,d__Bacteria;p__Firmicutes_A;c__Clostridia,Host-associated;Mammals: Human;Digestive system;Large intestine;Fecal,1.831209106,5.241428646,Human_associated,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
IMGPR_plasmid_3300008063_000011,8450,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales,Host-associated;Mammals: Human;Digestive system;Large intestine;Fecal,2.179053614,7.837938201,Human_associated,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IMGPR_plasmid_3300008063_000016,6599,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae,Host-associated;Mammals: Human;Digestive system;Large intestine;Fecal,2.466069761,10.77607301,Human_associated,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
IMGPR_plasmid_3300008077_000008,12384,,Host-associated;Mammals: Human;Digestive system;Large intestine;Fecal,1.946833867,6.006469016,Human_associated,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
IMGPR_plasmid_3300008081_000016,12035,d__Bacteria;p__Firmicutes_A;c__Clostridia,Host-associated;Mammals: Human;Digestive system;Large intestine;Fecal,1.90798022,5.73946281,Human_associated,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
IMGPR_plasmid_3300008096_000021,12005,d__Bacteria;p__Firmicutes_A;c__Clostridia,Host-associated;Mammals: Human;Digestive system;Large intestine;Fecal,2.193995608,7.970986144,Human_associated,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
