Node,Community,PIRACopyNumber,Plasmid_Length,Total_Chromosome_Length
NZ_CP083632.1,4,0.800587625,77601,5084978
NZ_CP056139.1,4,0.80881898,157649,5850397
NZ_CP054291.1,4,0.810070312,156883,5266040
NZ_CP039466.1,4,0.827558763,81938,4726540
NZ_CP118554.1,4,0.829424766,67458,4913168
NZ_CP040807.1,4,0.835089374,90871,4576669
NZ_CP020904.1,4,0.84696896,120533,5380605
NZ_CP084808.1,4,0.857236823,144916,5117462
NZ_CP040901.1,4,0.859016154,93930,4813658
NZ_CP040565.1,4,0.867514278,93869,4883741
NZ_CP093377.1,4,0.895919602,67194,4315560
NZ_CP065176.1,4,0.906538124,101966,5275802
NZ_CP056138.1,4,0.917137575,166165,5850397
NZ_CP040569.1,4,0.918697879,94033,4965236
NZ_CP084819.1,4,0.920658735,108548,5315931
NZ_CP097432.1,4,0.926110795,70092,4735021
NZ_CP076044.1,4,0.928086572,98268,4404514
NZ_CP039468.1,4,0.935840545,81934,4726542
NZ_CP026698.1,4,0.952096346,82058,4798293
NZ_CP030177.1,4,0.965866047,131435,4822474
NZ_CP075142.1,4,0.971818469,75400,4855022
NZ_CP023928.1,4,1.000109864,113639,5329011
NZ_CP026048.1,4,1.005561846,127313,5489763
NZ_CP043512.1,4,1.013687354,142503,4801031
NZ_CP070113.1,4,1.019347059,81012,5030370
NZ_CP056452.1,5,1.01974592,107190,4892927
NZ_CP056762.1,4,1.030542135,98663,5778205
NZ_CP104372.1,4,1.038935084,112409,4936877
NZ_CP030198.1,4,1.041663644,134274,4869528
NZ_CP014126.2,4,1.042592426,90511,4050121
NZ_CP055594.1,4,1.044372589,116760,5248800
NZ_OX460317.1,4,1.054014432,73423,4725107
NZ_CP053054.1,4,1.054463669,94046,4884266
NZ_CP076705.1,4,1.055394813,117710,4799802
NZ_CP051369.1,4,1.061071212,136285,4677885
NZ_CP091028.1,4,1.067430788,62643,5064428
NZ_CP104662.1,4,1.068281361,115456,5381566
NZ_CP056684.1,4,1.068655863,134986,5959281
NZ_LT216438.1,4,1.069558862,117916,5476690
NZ_CP056911.1,4,1.070644106,118265,5182470
NZ_CP117734.1,4,1.073813526,69985,5943444
NZ_CP091047.1,4,1.080808516,82263,5104329
NZ_CP087613.1,4,1.084370228,106447,5319600
NZ_CP058182.1,4,1.093034013,103340,5992775
NZ_CP058120.1,4,1.093174551,178580,6041083
NZ_OX460331.1,4,1.104805177,73423,4741476
NZ_CP056394.1,4,1.114730371,89835,4928295
NZ_CP124806.1,4,1.11737562,97591,5584066
NZ_CP050957.1,4,1.134587268,122496,5617896
NZ_AP027264.1,4,1.141658484,106575,5319234
NZ_CP024864.1,4,1.155516071,88768,5107874
NZ_CP030197.1,4,1.160040981,141502,4869528
NZ_CP092633.1,4,1.169038882,166327,5515756
NZ_OX460324.1,4,1.173671577,73423,4722421
NZ_CP103496.1,4,1.179593571,83861,4728479
NZ_CP058114.1,4,1.181499837,98663,5825890
NZ_CP104374.1,4,1.182449147,112409,5383173
NZ_CP117733.1,4,1.191041598,119611,5943444
NZ_CP023914.1,4,1.192451507,106853,5240335
NZ_CP136407.1,4,1.193080662,113639,5260706
NZ_CP061393.1,4,1.224144478,66476,5447040
NZ_CP103675.1,4,1.225284772,86737,4677444
NZ_CP140414.1,4,1.228228125,67700,4861050
NZ_CP024546.1,5,1.233320328,110374,5337491
NZ_CP023489.1,4,1.24242232,124323,5498599
NZ_CP029000.1,4,1.2459613,125913,5511019
NZ_CP056702.1,4,1.249226243,144021,5736562
NZ_CP026701.1,4,1.249580156,93832,4870262
NZ_CP022035.1,4,1.252253842,136771,4774926
NZ_OX460327.1,4,1.262661011,73423,4721705
NZ_CP011991.1,4,1.285957364,113638,5329725
NZ_CP104680.1,4,1.289099116,112409,5420550
NZ_CP110964.1,4,1.30937636,131583,5329474
NZ_OW970488.1,4,1.310768702,70767,5387387
NZ_CP056588.1,4,1.312616253,84673,5031645
NZ_CP056434.1,4,1.320789254,137885,5342507
NZ_CP057151.1,4,1.325137444,91406,4737278
NZ_CP132951.1,4,1.33038567,114295,4860453
NZ_CP118724.1,4,1.331046065,72947,4965686
NZ_CP069862.1,4,1.331804908,139085,5217368
NZ_CP087647.1,4,1.336448059,182556,5480728
NZ_CP024543.1,5,1.339614307,110374,5337491
NZ_CP051364.1,4,1.353570025,107602,4884345
NZ_CP103551.1,4,1.358343311,113639,5366016
NZ_CP055555.1,4,1.365136829,121090,5227551
NZ_CP087608.1,4,1.366063325,169136,5505838
NZ_CP029740.1,4,1.36945197,103250,5347404
NZ_CP055519.1,4,1.377519116,115594,5309503
NZ_CP027536.1,4,1.380169235,72482,5022408
NZ_CP056856.1,4,1.380770161,115230,5126929
NZ_CP033755.1,4,1.383963481,103852,5305851
NZ_OW968292.1,4,1.387345244,58272,4862596
NZ_OX460339.1,4,1.389570581,73432,4730372
NZ_CP008830.1,4,1.390120828,113639,5394056
NZ_CP054902.1,4,1.397887909,132638,4667369
NZ_CP036439.1,4,1.405936693,115291,5293792
NZ_CP021946.1,4,1.4068948,120345,5374770
NZ_CP099320.1,4,1.407681025,98378,4746900
NZ_CP014669.1,4,1.408123102,113852,5116831
NZ_OW969879.1,4,1.413354966,100558,5176111
NZ_CP028319.1,4,1.425419184,94045,4884375
NZ_CP124407.1,4,1.439761686,74054,4917286
NZ_CP103607.1,4,1.445772666,114874,5229078
NZ_CP056547.1,4,1.446550379,119062,5365582
NZ_OW968291.1,4,1.45318819,78039,4862596
NZ_CP045691.1,4,1.454252498,130329,5277246
NZ_CP070118.1,4,1.465032931,69978,5105031
NZ_CP055540.1,4,1.465181643,124541,5067906
NZ_CP009167.1,4,1.46557492,108501,4948797
NZ_CP099369.1,4,1.466421976,81741,5118622
NZ_CP110953.1,4,1.467825124,134385,5329577
NZ_CP097428.1,4,1.469008531,70092,4727328
NZ_CP024509.1,4,1.47238099,140704,5228889
NZ_CP072951.1,4,1.474834909,120604,5371820
NZ_CP032189.1,4,1.479119448,127285,5312321
NC_016861.1,4,1.481624896,106510,4954814
NZ_CP110943.1,4,1.484560882,120296,5341839
NZ_CP067437.1,4,1.486712538,97484,6067477
NZ_CP110959.1,4,1.490690211,134385,5329474
NZ_CP063442.1,4,1.490748688,85271,4574166
NZ_CP034720.1,4,1.496253373,93964,4766197
NZ_CP137713.1,4,1.498871154,93910,4857518
NZ_CP023922.1,4,1.502532149,129106,5315094
NZ_CP021959.1,4,1.520402176,89382,5606368
NZ_CP022137.1,4,1.525260934,66457,4913978
NZ_CP091045.1,4,1.527249656,63171,5104329
NZ_CP021464.1,4,1.53162614,115864,4879285
NZ_CP026173.1,4,1.531626529,64271,5616605
NZ_AP014566.1,4,1.532523333,132611,5051841
NZ_CP055520.1,4,1.547116364,112388,5309503
NZ_CP058197.1,4,1.551956352,176631,4485767
NZ_OW968278.1,4,1.555456166,128607,5212580
NZ_CP054910.1,4,1.563567169,91129,4685830
NZ_CP023916.1,4,1.568241627,130348,5240335
NZ_CP087630.1,4,1.57248208,178812,5413509
NZ_CP033881.1,4,1.576605036,61890,5206490
NZ_CP056686.1,4,1.585039248,113484,5959281
NZ_CP020523.1,4,1.586527238,113880,4905831
NZ_CP129385.1,5,1.592612298,108036,4711862
NZ_CP034361.1,4,1.597448016,142041,5090295
NZ_CP047324.1,4,1.600731244,93832,4870266
NZ_CP072920.1,4,1.60130051,81589,5366754
NZ_CP100309.1,4,1.606631236,116484,5265397
NZ_CP135482.1,4,1.63455808,121382,5313174
NZ_CP053017.1,4,1.63466672,169824,5345798
NZ_CP056687.1,4,1.638512681,76134,5959281
NZ_OW970445.1,4,1.638957219,119298,5400154
NZ_LR890193.1,4,1.641560974,120029,5230102
NZ_CP135700.1,4,1.65209126,60932,5023218
NZ_CP061392.1,4,1.654591661,78616,5447040
NZ_CP041249.1,4,1.677097192,92370,5266426
NZ_CP014765.1,4,1.678652624,106559,5351509
NZ_CP058183.1,4,1.679142712,95921,5992775
NZ_CP073785.1,4,1.682489532,115132,5222179
NZ_OW967264.1,4,1.693214731,112775,5082481
NZ_CP099372.1,4,1.715488877,81741,5118623
NZ_CP100504.1,4,1.718173133,63428,5559392
NZ_CP103501.1,4,1.722934747,76999,5344936
NZ_CP103723.1,4,1.723252538,105371,4872858
NZ_CP027413.1,4,1.728351719,93832,4822237
NZ_CP099591.1,4,1.743797592,67408,4668087
NZ_CP032262.1,4,1.763016086,75026,5119553
NZ_OX030702.1,4,1.768978156,90741,5070006
NZ_CP139747.1,4,1.779435698,93924,4857968
NZ_CP057036.1,4,1.782233871,86316,5183566
NZ_CP100313.1,4,1.78292363,116484,5264949
NZ_CP014650.1,4,1.78636805,113639,5393897
NZ_CP056435.1,4,1.788178072,136301,5342507
NZ_CP029732.1,4,1.801898793,68384,5262516
NZ_CP096188.1,4,1.807864426,115683,4740531
NZ_CP023942.1,4,1.80946722,187926,5484708
NZ_CP008833.1,4,1.813937911,113639,5309305
NZ_CP023890.1,4,1.822071977,89860,5633990
NZ_CP055521.1,4,1.827279634,71963,5309503
NZ_CP026212.1,4,1.829790076,126940,5246201
NZ_CP024547.1,4,1.831416805,71587,5337491
NZ_CP041006.1,4,1.83363044,93933,4857490
NZ_CP030210.1,5,1.839851164,92624,4805225
NZ_CP046282.1,4,1.840274641,94642,4884738
NZ_CP029998.1,4,1.843664782,61198,4920300
NZ_CP097627.1,4,1.846694295,155793,5465659
NZ_CP110949.1,4,1.847485654,133656,5329477
NZ_CP135500.1,4,1.848778539,111340,4866809
NZ_CP017929.1,5,1.857089422,113105,6155924
NZ_CP083798.1,4,1.861097198,120982,5330523
NZ_OW968329.1,4,1.864321891,72965,4886885
NZ_CP066011.1,4,1.875194109,93851,4878004
NZ_CP055556.1,4,1.8769352,110973,5227551
NZ_CP055512.1,4,1.891104363,95633,5460602
NZ_CP011981.1,4,1.893825414,130552,5308211
NZ_CP024510.1,4,1.895417299,98344,5228889
NZ_CP044038.1,4,1.89949252,77529,5266224
NZ_CP060166.1,4,1.90618226,116554,4876060
NZ_CP055328.1,4,1.908206146,120646,5993220
NZ_CP129207.1,4,1.918171948,94032,4894979
NZ_CP093387.1,4,1.918675732,93849,4856455
NZ_CP094994.1,4,1.925741144,102252,5350432
NZ_CP056624.1,4,1.927963309,152768,5065503
NZ_CP044035.1,4,1.944136683,114306,5266224
NZ_CP117735.1,4,1.954467975,69503,5943444
NZ_CP103724.1,4,1.954747944,84525,4872858
NZ_CP044045.1,4,1.95680996,138560,5387964
NZ_CP017992.1,4,1.961501951,79045,5144572
NZ_CP103744.1,4,1.973343723,72458,4890300
NZ_CP056829.1,5,1.987032281,100873,5136614
NZ_CP055332.1,4,1.995324032,144822,5051597
NZ_CP023503.1,4,2.009160644,135191,5402136
NZ_CP069912.1,4,2.018360134,141778,5860928
NZ_CP058327.1,4,2.021443297,120302,5341124
NZ_CP018815.1,4,2.029720618,139942,4882039
NZ_CP058184.1,4,2.029954996,67313,5992775
NZ_LR890738.1,4,2.040278837,129925,5220279
NZ_CP011595.1,5,2.042635569,113105,6217725
NZ_CP030220.1,4,2.05479653,159279,5431908
NZ_CP021545.1,4,2.057245448,125536,5382888
NZ_CP026396.1,4,2.059868821,144072,5531975
NZ_CP065638.1,4,2.065110006,93933,4857477
NZ_CP027614.1,4,2.079187309,100759,5065840
NZ_CP056310.1,4,2.081157917,97542,5460256
NZ_CP021857.1,4,2.085573222,106331,5322544
NZ_CP024544.1,4,2.093222686,71587,5337491
NZ_CP035537.1,4,2.140561504,108500,5299449
NZ_CP027409.1,4,2.151757346,220137,4972718
NZ_CP061387.1,4,2.154747856,114416,5425828
NZ_CP135707.1,4,2.155395381,70737,5389834
NZ_CP055131.1,4,2.15940922,138139,4890046
NZ_CP023418.1,4,2.168096761,138885,5338202
NZ_CP014577.1,4,2.185569587,93930,4958254
NZ_CP029731.1,4,2.204395772,108148,5262516
NZ_CP067436.1,4,2.204639468,128998,6067477
NZ_CP083777.1,4,2.20599329,69339,5472883
NZ_CP041250.1,4,2.212594934,83988,5266426
NZ_CP096979.1,4,2.226841278,63387,5155820
NZ_CP129210.1,4,2.243438354,94026,4894501
NZ_CP017672.1,4,2.246302312,108417,4780676
NZ_CP056532.1,4,2.254042194,111220,5240044
NZ_CP045950.1,4,2.27344632,93865,4865665
NZ_CP058121.1,4,2.29414729,67562,6041083
NZ_CP056688.1,4,2.313154939,75825,5959281
NZ_CP013326.1,4,2.31950645,77808,5319154
NZ_CP065719.1,4,2.339187972,93933,4874787
NZ_CP066072.1,4,2.342661808,48874,4286334
NZ_CP011615.1,5,2.357051211,113105,6229565
NZ_CP024430.1,4,2.385130185,131243,5394870
NZ_CP020064.1,4,2.407106517,83376,5345997
NZ_AP024177.1,4,2.412488957,69826,5242098
NZ_CP026403.1,4,2.418391227,103161,5277702
NZ_CP007730.1,4,2.428648027,113639,5395263
NZ_CP055318.1,4,2.437423749,127832,5847876
NZ_CP127083.1,4,2.437974347,76772,4495661
NZ_LR890337.1,4,2.46275568,62993,5121811
NZ_CP027616.1,4,2.467121427,129985,5065840
NZ_CP065625.1,4,2.473573537,57741,3759372
NZ_CP050151.1,4,2.499269833,85042,4687005
NZ_CP021753.1,4,2.538844021,116187,5380979
NZ_CP099345.1,4,2.558182766,98156,4884850
NZ_CP042547.1,4,2.579323386,173103,5876662
NZ_CP067435.1,4,2.607297183,136676,6067477
NZ_CP055522.1,4,2.643704737,45242,5309503
NZ_CP038393.1,4,2.73837667,99707,5294183
NZ_CP025040.1,4,2.74676822,83541,5537943
NZ_CP104453.1,4,2.751223153,128787,5775339
NZ_CP011986.1,4,2.752268852,113639,5322270
NZ_CP058809.1,4,2.782090869,93853,4865373
NZ_CP055365.1,4,2.799264241,123417,5923213
NZ_CP133338.1,4,2.863229668,148248,4707941
NZ_CP032198.1,4,2.978749354,58029,5309987
NZ_CP061382.1,4,3.003978875,136387,5210190
NZ_CP008919.1,4,3.025613207,48866,4285951
NZ_CP011621.1,4,3.027414439,77808,5262013
NZ_CP070078.1,4,3.047347665,60771,5063882
NZ_CM008895.1,4,3.128360011,119046,5276151
NZ_CP104837.1,4,3.135175848,84997,4934545
NZ_CP103747.1,4,3.181082352,89420,4896043
NZ_CP099346.1,4,3.264689612,72595,4884850
NZ_CP055484.1,4,3.367497462,82064,6330682
NZ_CP056427.1,4,3.410047966,82555,5494507
NZ_CP061400.1,4,3.481668583,128320,5488905
NZ_CP056157.1,4,3.502251597,125868,4398880
NZ_CP141996.1,4,3.697173631,61266,4258131
NZ_CP021541.1,4,3.726486394,111531,5402261
NZ_CP056533.1,4,3.783685663,74689,5240044
NZ_CP055312.1,4,3.994969198,119319,6204086
NZ_CP104486.1,4,4.089877141,69202,4969564
NZ_CP026181.1,4,4.597467683,94405,5403218
NZ_CP034322.1,4,4.639602552,150094,5331542
NZ_AP027260.1,4,4.67986653,60729,4968007
NZ_CP023469.1,4,4.716225501,94044,4639823
NZ_CP056194.1,4,5.074119532,70240,5185437
NZ_CP025039.1,4,5.705704,146689,5537943
NZ_CP012928.1,4,5.788412291,62920,4790331
NZ_CP026174.1,4,5.976617029,93680,5616605
NZ_CP032181.1,4,6.549958339,81323,5121015
NZ_CP068284.1,4,9.963921298,67408,4688863
NZ_CP068280.1,4,11.28999624,67545,4625856
NZ_CP068282.1,4,11.74041885,67545,4669770
NZ_CP056485.1,4,11.76157269,162733,6331260
NZ_CP054888.1,6,0.125901202,51857,4727697
NZ_CP026826.1,6,0.28820195,224352,4558619
NZ_CP026868.1,6,0.496641554,145169,4607924
NZ_CP054887.1,6,0.509681606,176253,4727697
NZ_CP026796.1,6,0.613054541,226559,4575738
NZ_CP050866.1,6,0.662599049,233800,4899869
NZ_CP050863.1,6,0.782065177,233798,4901398
NZ_CP026099.1,6,0.868353245,229413,4576448
NZ_CP138847.1,6,0.869184567,225605,4652134
NZ_CP026873.1,6,0.974923249,166878,4711198
NZ_CP050984.1,6,1.00204225,231172,4751732
NZ_CP055125.1,6,1.002836323,255031,4733599
NZ_CP119451.1,6,1.038343856,203096,4641624
NZ_CP130064.1,6,1.059439,218629,4576609
NZ_CP045785.1,6,1.066077225,223637,4716545
NZ_CP085203.1,6,1.235073248,206206,4594703
NZ_CP049279.1,6,1.30317229,216073,4820649
NZ_CP049286.1,6,1.610287048,185316,4572715
NZ_CP119447.1,6,1.680583326,213746,4748049
NZ_CP045942.1,6,1.914188318,234182,4723195
NZ_CP054891.1,6,1.973832973,220335,4593694
NZ_CP034059.1,6,2.210292884,217451,4586233
NZ_CP127082.1,6,2.263180599,215531,4495661
NZ_CP049282.1,6,2.906433328,208836,4589517
NZ_CP055137.1,6,3.308085856,228903,4674361
NZ_CP033698.1,6,4.764977091,19216,4708493
NZ_CP019711.1,6,5.131027087,9605,4655691
NZ_CP033691.1,6,7.002221621,9611,4636496
NZ_CP009701.1,6,7.232924703,9608,4531804
NZ_CP006808.1,6,7.317615322,9610,4629525
NZ_CP045148.1,6,7.991878429,9610,4625829
NZ_CP009489.1,6,9.290560375,9610,4685423
NZ_CP009839.1,6,12.28470236,9612,4569625
NZ_CP009903.1,6,12.67215324,9609,4708024
NZ_CP045161.1,6,21.18464178,9611,4596548
NZ_CP077372.1,7,0.12820919,24345,3226399
NZ_CP116539.1,1,1.065095857,15523,2685086
NC_018743.1,7,1.297109697,58952,4798158
NZ_CP023513.1,7,1.811525845,20632,3381046
NZ_CP077371.1,8,1.884845371,47918,3226399
NZ_CP077409.1,2,0.129019192,17233,4748459
NZ_CP026422.1,2,1.000054745,13080,3307251
NZ_CP128956.1,3,31.44505916,6560,4091740
NZ_CP058528.1,9,0.131499635,214233,4943504
NZ_CP125646.1,9,0.262821148,127889,4499098
NZ_CP048472.1,9,0.281834204,177576,5726780
NZ_CP048512.1,9,0.287683561,175062,5192189
NZ_CP119419.1,9,0.289022332,184420,4910279
NZ_CP048546.1,9,0.290856439,177579,5182451
NZ_CP048500.1,9,0.295948839,209936,5183496
NZ_CP048505.1,9,0.299087115,209960,5192404
NZ_CP119539.1,9,0.318570752,214233,4909992
NZ_CP053445.1,9,0.346329023,142731,4835120
NZ_CP048521.1,9,0.347325797,214233,4942895
NZ_CP132057.1,9,0.350318637,194790,4911672
NZ_CP048511.1,9,0.352427754,209960,5192189
NZ_CP048476.1,9,0.369909805,177577,4948164
NZ_CP120213.1,9,0.378236434,132201,5457809
NZ_CP048567.1,9,0.40180468,209962,5061140
NZ_CP048554.1,9,0.402216311,252603,5315220
NZ_CP048531.1,9,0.404246587,177577,5155809
NZ_CP116704.1,9,0.437238472,194697,4877046
NZ_CP048517.1,9,0.442803827,175061,5192243
NZ_CP079858.1,9,0.458614554,131838,4917157
NZ_CP115929.1,9,0.477495476,197267,4840484
NZ_CP073112.1,9,0.482495837,181745,6684122
NZ_CP109972.1,9,0.482693041,248634,5066896
NZ_CP115846.1,9,0.482724937,206366,4941781
NZ_CP048561.1,9,0.508181689,252603,4936195
