Clans,Observed,Total,Expected,P-value
Lysozyme,4,19,2.121911038,0.154896661
Thiolase,4,19,2.121911038,0.154896661
ZnExoPePases,3,13,1.451833868,0.17043605
HHH,6,34,3.797103963,0.172762003
Chelatase,2,7,0.781756698,0.179319306
CoA-acyltrans,2,7,0.781756698,0.179319306
Flavoprotein,2,7,0.781756698,0.179319306
GT-A,7,43,4.802219717,0.19879906
ADH_DHQS_C-like,1,2,0.223359057,0.210895342
AhpD-like,1,2,0.223359057,0.210895342
Aquaporin-like,1,2,0.223359057,0.210895342
Chaperone-J,1,2,0.223359057,0.210895342
DHFred,1,2,0.223359057,0.210895342
FAH,1,2,0.223359057,0.210895342
FMN-dep-NRtase,1,2,0.223359057,0.210895342
FadR-C,1,2,0.223359057,0.210895342
H-NS_histone_C,1,2,0.223359057,0.210895342
Intron-mat_II,1,2,0.223359057,0.210895342
PTS_EIIC,1,2,0.223359057,0.210895342
PepSY_TM-like,1,2,0.223359057,0.210895342
Peroxidase,1,2,0.223359057,0.210895342
Phage_tail_L,1,2,0.223359057,0.210895342
SDH_alpha,1,2,0.223359057,0.210895342
TAT,1,2,0.223359057,0.210895342
TerB,1,2,0.223359057,0.210895342
UTRA,1,2,0.223359057,0.210895342
YefM-like,1,2,0.223359057,0.210895342
Calcineurin,2,8,0.893436226,0.222227924
CopD_like,2,8,0.893436226,0.222227924
DPBB,2,8,0.893436226,0.222227924
Nucleot_cyclase,2,8,0.893436226,0.222227924
SIS,2,8,0.893436226,0.222227924
NTP_transf,5,30,3.350385849,0.238909569
His-Me_finger,4,23,2.568629151,0.251076182
CPA_AT,3,16,1.786872453,0.261973165
Cupin,9,65,7.25916934,0.298681373
AMP_N-like,1,3,0.335038585,0.299037464
AcylCoA_ox_dh_N,1,3,0.335038585,0.299037464
Apolipoprotein,1,3,0.335038585,0.299037464
ArdcN,1,3,0.335038585,0.299037464
Asp-glut_race,1,3,0.335038585,0.299037464
C1q_TNF,1,3,0.335038585,0.299037464
COX1-like,1,3,0.335038585,0.299037464
DNA_b-psBarrel,1,3,0.335038585,0.299037464
Fer2_BFD,1,3,0.335038585,0.299037464
GroES,1,3,0.335038585,0.299037464
Head_shaft,1,3,0.335038585,0.299037464
PP2C,1,3,0.335038585,0.299037464
Peptidase_U,1,3,0.335038585,0.299037464
PilP,1,3,0.335038585,0.299037464
SPFH,1,3,0.335038585,0.299037464
YaaA-like,1,3,0.335038585,0.299037464
YkuD,1,3,0.335038585,0.299037464
beta_Roll,1,3,0.335038585,0.299037464
Alk_phosphatase,2,10,1.116795283,0.309337379
DoxD-like,2,10,1.116795283,0.309337379
Metallo-HOrase,2,10,1.116795283,0.309337379
ABC_membrane,1,4,0.446718113,0.377340998
ALDH-like,1,4,0.446718113,0.377340998
ANL,1,4,0.446718113,0.377340998
AbrB,1,4,0.446718113,0.377340998
Acyltransferase,1,4,0.446718113,0.377340998
Enolase_N,1,4,0.446718113,0.377340998
HMA,1,4,0.446718113,0.377340998
ISP-domain,1,4,0.446718113,0.377340998
MmeI_HD-like,1,4,0.446718113,0.377340998
PGBD,1,4,0.446718113,0.377340998
PP-binding,1,4,0.446718113,0.377340998
Phage_tail,1,4,0.446718113,0.377340998
RHS_sf,1,4,0.446718113,0.377340998
STAS,1,4,0.446718113,0.377340998
SufE_NifU,1,4,0.446718113,0.377340998
TrbL,1,4,0.446718113,0.377340998
YjgF-like,1,4,0.446718113,0.377340998
AAA_lid,4,28,3.127026793,0.382687366
Ferritin,4,28,3.127026793,0.382687366
DMT,3,20,2.233590566,0.389832626
HotDog,3,21,2.345270095,0.421262256
Phosphatase,3,21,2.345270095,0.421262256
FMN-binding,2,13,1.451833868,0.435028102
AEP,1,5,0.558397642,0.446903388
AMP-binding_C,1,5,0.558397642,0.446903388
Beta-tent,1,5,0.558397642,0.446903388
DNase_I-like,1,5,0.558397642,0.446903388
HAMP,1,5,0.558397642,0.446903388
NAD_Ferredoxin,1,5,0.558397642,0.446903388
PELOTA,1,5,0.558397642,0.446903388
Patatin,1,5,0.558397642,0.446903388
SAF,1,5,0.558397642,0.446903388
STIR,1,5,0.558397642,0.446903388
TKC_like,1,5,0.558397642,0.446903388
TRD,1,5,0.558397642,0.446903388
sPC4_like,1,5,0.558397642,0.446903388
Phage-coat,2,14,1.563513396,0.474203957
Pilus,2,14,1.563513396,0.474203957
SGNH_hydrolase,2,14,1.563513396,0.474203957
MazG,1,6,0.67007717,0.508699747
PFL-like,1,6,0.67007717,0.508699747
6PGD_C,2,15,1.675192925,0.511683247
Cytochrome-c,2,15,1.675192925,0.511683247
HD_PDEase,2,15,1.675192925,0.511683247
DNA-mend,1,7,0.781756698,0.563596488
EF-G_C,1,7,0.781756698,0.563596488
MIF,1,7,0.781756698,0.563596488
MviN_MATE,1,7,0.781756698,0.563596488
NUDIX,1,7,0.781756698,0.563596488
Reductase_C,1,7,0.781756698,0.563596488
SUKH,1,7,0.781756698,0.563596488
CheY,2,17,1.898551981,0.581158355
PDDEXK,13,121,13.51322293,0.602369636
GADPH_aa-bio_dh,2,18,2.01023151,0.613062595
MBB,10,94,10.49787566,0.613879941
Adhesin,2,19,2.121911038,0.643070883
GIY-YIG,1,9,1.005115755,0.655684545
MBD-like,1,9,1.005115755,0.655684545
GH_CE,1,10,1.116795283,0.694167564
TBP-like,1,10,1.116795283,0.694167564
TRASH,1,10,1.116795283,0.694167564
Glutaminase_I,2,21,2.345270095,0.697518594
Transthyretin,4,43,4.802219717,0.722756847
2heme_cytochrom,1,11,1.228474811,0.728352427
Glycine-zipper,1,11,1.228474811,0.728352427
LysM,1,11,1.228474811,0.728352427
Tail_Terminator,1,11,1.228474811,0.728352427
Leu-IlvD,1,12,1.34015434,0.758718863
B_Fructosidase,1,14,1.563513396,0.809653796
TPR,18,191,21.33078991,0.81104724
KNTase_C,2,27,3.015347264,0.820744473
SH3,8,94,10.49787566,0.838128193
RAMPS-Cas5-like,1,16,1.786872453,0.849842826
Tbcl_zf,1,16,1.786872453,0.849842826
GHD,3,42,4.690540189,0.862901195
Zn_Beta_Ribbon,8,98,10.94459377,0.869340636
Dim_A_B_barrel,2,32,3.573744906,0.886786708
ALR_C-like,1,19,2.121911038,0.894800597
HUP,2,33,3.685424434,0.896939598
Peptidase_CA,3,50,5.583976416,0.928949321
ACT,1,23,2.568629151,0.934551
ADP-ribosyl,1,23,2.568629151,0.934551
Pec_lyase-like,2,39,4.355501604,0.942041124
Peptidase_MA,4,67,7.482528397,0.950470406
Gal_mutarotase,1,28,3.127026793,0.963845844
Phage_barrel,1,35,3.908783491,0.98425598
GBD,3,68,7.594207925,0.985705345
Concanavalin,1,38,4.243822076,0.988976699
Ubiquitin,1,40,4.467181132,0.991308691
E-set,17,279,31.1585884,0.998799725
Beta_propeller,4,172,19.20887887,0.999997575
