SeqID,Degree,PCN,Plasmid_Length
NZ_CP044651.1,285,1.319781763,3457
NZ_CP075380.1,228,1.33132608,26947
NZ_CP073165.1,277,1.435686809,18100
NZ_CP073201.1,221,1.447842563,30331
NZ_CP075397.1,225,1.498866932,41322
NZ_CP073223.1,207,1.515835206,126492
NZ_CP117893.1,213,1.560801601,55632
NZ_CP073170.1,231,1.562476986,32390
NZ_CP073160.1,205,1.581206726,28228
NZ_CP073193.1,215,1.586058697,30284
NZ_CP117908.1,225,1.599810125,57197
NZ_CP075078.1,196,1.627810812,30410
NZ_CP075079.1,221,1.640691796,29804
NZ_CP073171.1,225,1.644469387,34120
NZ_CP073138.1,214,1.658988449,29738
NZ_CP073194.1,210,1.715284874,29858
NZ_CP116875.1,226,1.856884202,54111
NZ_CP073180.1,212,1.865816473,49203
NZ_CP075396.1,220,1.872511752,39328
NZ_CP075081.1,228,2.046519519,48229
NZ_CP019765.1,234,2.121021793,53650
NZ_CP019854.1,234,2.147281868,53650
NZ_CP019925.1,234,2.358988735,53650
NZ_CP102876.1,186,2.487035124,4473
NZ_CP088250.1,246,2.549504184,16127
NZ_CP059018.1,282,2.552704323,17818
NZ_CP073227.1,236,2.776658521,29698
NZ_CP073178.1,196,3.098713149,30147
NZ_CP059016.1,277,3.149385222,30012
NZ_CP073202.1,219,3.592542708,31765
NZ_AP022923.1,313,3.776392618,24527
NZ_CP073177.1,206,3.90354189,30379
NZ_CP059011.1,234,3.90498966,58586
NZ_CP080231.1,232,5.113095719,5128
NC_015664.1,230,5.966166803,12355
NZ_CP059027.1,210,6.959433299,18985
NZ_CP023889.1,271,12.26346096,4779
NZ_CP059025.1,216,15.89355473,30693
NZ_CP013969.1,167,22.13284697,6045
NZ_CP129389.1,271,24.15298633,4779
NZ_CP128896.1,186,92.2678933,4991
NZ_CP020430.1,2,0.095126046,20536
NZ_CP124817.1,9,5.199172375,9547
NZ_CP056346.1,9,50.76770599,9581
NZ_CP069902.1,374,0.110018483,60872
NZ_CP054287.1,750,0.317724821,156980
NZ_CP050746.1,593,0.332828699,115084
NZ_CP102872.1,916,0.333310621,118931
NZ_CP082361.1,529,0.334408447,150808
NZ_CP084834.1,738,0.389760087,109813
NZ_CP034178.1,494,0.401242059,81814
NZ_CP124333.1,1074,0.428312834,105993
NZ_CP039501.1,494,0.438521413,81815
NZ_CP045752.1,494,0.43858199,81815
NZ_CP117245.1,674,0.453248662,93832
NZ_CP104367.1,678,0.463040408,93844
NZ_CP074664.1,678,0.465373772,93960
NZ_CP084773.1,723,0.486124728,150964
NZ_CP071395.1,568,0.489924099,170909
NZ_CP014050.2,695,0.517217348,93933
NZ_CP051406.1,674,0.522964545,95919
NZ_CP030342.1,978,0.528544416,113639
NZ_CP054280.1,509,0.5419643,109094
NZ_CP039474.1,494,0.543222951,81900
NZ_CP089029.1,907,0.547748556,124933
NZ_CP084776.1,485,0.550762619,84354
NZ_CP039479.1,494,0.554123105,81940
NZ_CP118385.1,539,0.557020236,67458
NZ_CP051268.1,667,0.558233587,93798
NZ_CP045755.1,494,0.573434893,81815
NZ_CP039492.1,477,0.578154121,81941
NZ_CP075038.1,687,0.578572829,147099
NZ_CP087614.1,562,0.580013866,81442
NZ_CP039470.1,494,0.583898212,81940
NZ_CP039481.1,465,0.59681544,81938
NZ_CP039488.1,494,0.607434987,81815
NZ_CP084788.1,731,0.608812837,104756
NZ_CP030785.2,831,0.619115,81130
NZ_CP039494.1,494,0.621797455,81941
NZ_CP045758.1,494,0.622714403,81815
NZ_CP023443.1,1135,0.623153373,117859
NZ_CP039483.1,494,0.625922419,81939
NZ_CP089028.1,1065,0.632793306,107790
NZ_CP089944.1,346,0.635529159,39625
NZ_CP029102.1,978,0.640672574,135655
NZ_CM001154.1,774,0.642378918,87371
NZ_CP084846.1,735,0.646977068,101892
NZ_CP039472.1,515,0.649150553,81911
NZ_CP037876.1,733,0.651765162,96545
NZ_CP027158.1,978,0.661105434,113639
NZ_CP085204.1,600,0.66296063,58626
NZ_CP037744.1,1043,0.66309255,121239
NZ_CP039464.1,538,0.664491108,81940
NZ_CP041133.1,616,0.664550469,77267
NZ_CP039497.1,494,0.672314667,81942
NZ_CP045760.1,494,0.673344287,81815
NZ_CP077408.1,455,0.677197033,151584
NZ_CP037873.1,674,0.684387684,93844
NZ_CP084781.1,761,0.684470855,130593
NZ_CP028041.1,293,0.689360676,74494
NZ_CP039485.1,494,0.694008625,81929
NZ_CP041128.1,400,0.695714842,63265
NZ_CP056720.1,623,0.697298982,123311
NZ_CP050741.1,652,0.698039348,108574
NZ_OX637963.1,694,0.701689607,78028
NZ_CP027301.1,512,0.709519663,76484
NZ_CP082354.1,538,0.71268061,51921
NZ_CP025556.1,674,0.714989104,93832
NZ_CP056141.1,884,0.740102349,92475
NZ_CP030176.1,606,0.749755567,148530
NZ_CP013026.1,700,0.757598267,63800
NZ_CP077292.1,354,0.776444764,88902
NZ_CP060170.1,684,0.782617314,93813
NZ_CP051377.1,674,0.782686694,94046
NZ_CP024296.1,706,0.783209099,97297
NZ_CP065175.1,581,0.784986986,132740
NZ_CP019175.1,653,0.785228033,94727
NZ_CP056685.1,867,0.786419442,128344
NZ_CP099589.1,877,0.78780289,99158
NZ_CP123239.1,762,0.795692976,81424
NZ_CP034319.1,859,0.797810781,143593
NZ_CP050736.1,711,0.797896234,110163
NZ_CP083632.1,737,0.800587625,77601
NZ_CP056139.1,442,0.80881898,157649
NZ_CP054291.1,784,0.810070312,156883
NZ_CP039466.1,494,0.827558763,81938
NZ_CP118554.1,539,0.829424766,67458
NZ_CP040807.1,655,0.835089374,90871
NZ_CP020904.1,906,0.84696896,120533
NZ_CP084808.1,740,0.857236823,144916
NZ_CP040901.1,674,0.859016154,93930
NZ_CP040565.1,674,0.867514278,93869
NZ_CP093377.1,675,0.895919602,67194
NZ_CP065176.1,867,0.906538124,101966
NZ_CP056138.1,306,0.917137575,166165
NZ_CP040569.1,678,0.918697879,94033
NZ_CP084819.1,967,0.920658735,108548
NZ_CP097432.1,690,0.926110795,70092
NZ_CP076044.1,875,0.928086572,98268
NZ_CP039468.1,494,0.935840545,81934
NZ_CP026698.1,865,0.952096346,82058
NZ_CP030177.1,740,0.965866047,131435
NZ_CP075142.1,538,0.971818469,75400
NZ_CP023928.1,978,1.000109864,113639
NZ_CP026048.1,828,1.005561846,127313
NZ_CP043512.1,634,1.013687354,142503
NZ_CP070113.1,826,1.019347059,81012
NZ_CP056452.1,472,1.01974592,107190
NZ_CP056762.1,203,1.030542135,98663
NZ_CP104372.1,937,1.038935084,112409
NZ_CP030198.1,583,1.041663644,134274
NZ_CP014126.2,320,1.042592426,90511
NZ_CP055594.1,584,1.044372589,116760
NZ_OX460317.1,692,1.054014432,73423
NZ_CP053054.1,674,1.054463669,94046
NZ_CP076705.1,688,1.055394813,117710
NZ_CP051369.1,565,1.061071212,136285
NZ_CP091028.1,718,1.067430788,62643
NZ_CP104662.1,926,1.068281361,115456
NZ_CP056684.1,450,1.068655863,134986
NZ_LT216438.1,607,1.069558862,117916
NZ_CP056911.1,284,1.070644106,118265
NZ_CP117734.1,764,1.073813526,69985
NZ_CP091047.1,559,1.080808516,82263
NZ_CP087613.1,823,1.084370228,106447
NZ_CP058182.1,760,1.093034013,103340
NZ_CP058120.1,422,1.093174551,178580
NZ_OX460331.1,692,1.104805177,73423
NZ_CP056394.1,557,1.114730371,89835
NZ_CP124806.1,841,1.11737562,97591
NZ_CP050957.1,670,1.134587268,122496
NZ_AP027264.1,816,1.141658484,106575
NZ_CP024864.1,669,1.155516071,88768
NZ_CP030197.1,592,1.160040981,141502
NZ_CP092633.1,718,1.169038882,166327
NZ_OX460324.1,692,1.173671577,73423
NZ_CP103496.1,770,1.179593571,83861
NZ_CP058114.1,203,1.181499837,98663
NZ_CP104374.1,937,1.182449147,112409
NZ_CP117733.1,391,1.191041598,119611
NZ_CP023914.1,671,1.192451507,106853
NZ_CP136407.1,978,1.193080662,113639
NZ_CP061393.1,786,1.224144478,66476
NZ_CP103675.1,597,1.225284772,86737
NZ_CP140414.1,773,1.228228125,67700
NZ_CP024546.1,802,1.233320328,110374
NZ_CP023489.1,974,1.24242232,124323
NZ_CP029000.1,769,1.2459613,125913
NZ_CP056702.1,657,1.249226243,144021
NZ_CP026701.1,674,1.249580156,93832
NZ_CP022035.1,413,1.252253842,136771
NZ_OX460327.1,692,1.262661011,73423
NZ_CP011991.1,927,1.285957364,113638
NZ_CP104680.1,937,1.289099116,112409
NZ_CP110964.1,923,1.30937636,131583
NZ_OW970488.1,705,1.310768702,70767
NZ_CP056588.1,564,1.312616253,84673
NZ_CP056434.1,983,1.320789254,137885
NZ_CP057151.1,479,1.325137444,91406
NZ_CP132951.1,610,1.33038567,114295
NZ_CP118724.1,516,1.331046065,72947
NZ_CP069862.1,760,1.331804908,139085
NZ_CP087647.1,913,1.336448059,182556
NZ_CP024543.1,802,1.339614307,110374
NZ_CP051364.1,610,1.353570025,107602
NZ_CP103551.1,981,1.358343311,113639
NZ_CP055555.1,594,1.365136829,121090
NZ_CP087608.1,927,1.366063325,169136
NZ_CP029740.1,965,1.36945197,103250
NZ_CP055519.1,896,1.377519116,115594
NZ_CP027536.1,679,1.380169235,72482
NZ_CP056856.1,683,1.380770161,115230
NZ_CP033755.1,925,1.383963481,103852
NZ_OW968292.1,607,1.387345244,58272
NZ_OX460339.1,692,1.389570581,73432
NZ_CP008830.1,933,1.390120828,113639
NZ_CP054902.1,389,1.397887909,132638
NZ_CP036439.1,569,1.405936693,115291
NZ_CP021946.1,742,1.4068948,120345
NZ_CP099320.1,555,1.407681025,98378
NZ_CP014669.1,883,1.408123102,113852
NZ_OW969879.1,383,1.413354966,100558
NZ_CP028319.1,678,1.425419184,94045
NZ_CP124407.1,721,1.439761686,74054
NZ_CP103607.1,987,1.445772666,114874
NZ_CP056547.1,578,1.446550379,119062
NZ_OW968291.1,613,1.45318819,78039
NZ_CP045691.1,816,1.454252498,130329
NZ_CP070118.1,604,1.465032931,69978
NZ_CP055540.1,512,1.465181643,124541
NZ_CP009167.1,837,1.46557492,108501
NZ_CP099369.1,700,1.466421976,81741
NZ_CP110953.1,958,1.467825124,134385
NZ_CP097428.1,690,1.469008531,70092
NZ_CP024509.1,485,1.47238099,140704
NZ_CP072951.1,503,1.474834909,120604
NZ_CP032189.1,1017,1.479119448,127285
NC_016861.1,599,1.481624896,106510
NZ_CP110943.1,842,1.484560882,120296
NZ_CP067437.1,733,1.486712538,97484
NZ_CP110959.1,962,1.490690211,134385
NZ_CP063442.1,749,1.490748688,85271
NZ_CP034720.1,678,1.496253373,93964
NZ_CP137713.1,695,1.498871154,93910
NZ_CP023922.1,876,1.502532149,129106
NZ_CP021959.1,933,1.520402176,89382
NZ_CP022137.1,608,1.525260934,66457
NZ_CP091045.1,705,1.527249656,63171
NZ_CP021464.1,712,1.53162614,115864
NZ_CP026173.1,94,1.531626529,64271
NZ_AP014566.1,658,1.532523333,132611
NZ_CP055520.1,490,1.547116364,112388
NZ_CP058197.1,645,1.551956352,176631
NZ_OW968278.1,1085,1.555456166,128607
NZ_CP054910.1,623,1.563567169,91129
NZ_CP023916.1,870,1.568241627,130348
NZ_CP087630.1,871,1.57248208,178812
NZ_CP033881.1,642,1.576605036,61890
NZ_CP056686.1,796,1.585039248,113484
NZ_CP020523.1,814,1.586527238,113880
NZ_CP129385.1,474,1.592612298,108036
NZ_CP034361.1,862,1.597448016,142041
NZ_CP047324.1,674,1.600731244,93832
NZ_CP072920.1,778,1.60130051,81589
NZ_CP100309.1,949,1.606631236,116484
NZ_CP135482.1,778,1.63455808,121382
NZ_CP053017.1,918,1.63466672,169824
NZ_CP056687.1,534,1.638512681,76134
NZ_OW970445.1,741,1.638957219,119298
NZ_LR890193.1,748,1.641560974,120029
NZ_CP135700.1,652,1.65209126,60932
NZ_CP061392.1,613,1.654591661,78616
NZ_CP041249.1,882,1.677097192,92370
NZ_CP014765.1,861,1.678652624,106559
NZ_CP058183.1,888,1.679142712,95921
NZ_CP073785.1,971,1.682489532,115132
NZ_OW967264.1,595,1.693214731,112775
NZ_CP099372.1,700,1.715488877,81741
NZ_CP100504.1,734,1.718173133,63428
NZ_CP103501.1,454,1.722934747,76999
NZ_CP103723.1,856,1.723252538,105371
NZ_CP027413.1,678,1.728351719,93832
NZ_CP099591.1,841,1.743797592,67408
NZ_CP032262.1,686,1.763016086,75026
NZ_OX030702.1,851,1.768978156,90741
NZ_CP139747.1,683,1.779435698,93924
NZ_CP057036.1,681,1.782233871,86316
NZ_CP100313.1,949,1.78292363,116484
NZ_CP014650.1,933,1.78636805,113639
NZ_CP056435.1,698,1.788178072,136301
NZ_CP029732.1,584,1.801898793,68384
NZ_CP096188.1,328,1.807864426,115683
NZ_CP023942.1,944,1.80946722,187926
NZ_CP008833.1,933,1.813937911,113639
NZ_CP023890.1,733,1.822071977,89860
NZ_CP055521.1,787,1.827279634,71963
NZ_CP026212.1,781,1.829790076,126940
NZ_CP024547.1,732,1.831416805,71587
NZ_CP041006.1,683,1.83363044,93933
NZ_CP030210.1,532,1.839851164,92624
NZ_CP046282.1,732,1.840274641,94642
NZ_CP029998.1,559,1.843664782,61198
NZ_CP097627.1,957,1.846694295,155793
NZ_CP110949.1,898,1.847485654,133656
NZ_CP135500.1,723,1.848778539,111340
NZ_CP017929.1,612,1.857089422,113105
NZ_CP083798.1,768,1.861097198,120982
NZ_OW968329.1,682,1.864321891,72965
NZ_CP066011.1,683,1.875194109,93851
NZ_CP055556.1,831,1.8769352,110973
NZ_CP055512.1,690,1.891104363,95633
NZ_CP011981.1,797,1.893825414,130552
NZ_CP024510.1,810,1.895417299,98344
NZ_CP044038.1,764,1.89949252,77529
NZ_CP060166.1,707,1.90618226,116554
NZ_CP055328.1,571,1.908206146,120646
NZ_CP129207.1,683,1.918171948,94032
NZ_CP093387.1,678,1.918675732,93849
NZ_CP094994.1,920,1.925741144,102252
NZ_CP056624.1,740,1.927963309,152768
NZ_CP044035.1,474,1.944136683,114306
NZ_CP117735.1,643,1.954467975,69503
NZ_CP103724.1,702,1.954747944,84525
NZ_CP044045.1,1097,1.95680996,138560
NZ_CP017992.1,480,1.961501951,79045
NZ_CP103744.1,619,1.973343723,72458
NZ_CP056829.1,532,1.987032281,100873
NZ_CP055332.1,613,1.995324032,144822
NZ_CP023503.1,589,2.009160644,135191
NZ_CP069912.1,1060,2.018360134,141778
NZ_CP058327.1,843,2.021443297,120302
NZ_CP018815.1,970,2.029720618,139942
NZ_CP058184.1,788,2.029954996,67313
NZ_LR890738.1,455,2.040278837,129925
NZ_CP011595.1,612,2.042635569,113105
NZ_CP030220.1,493,2.05479653,159279
NZ_CP021545.1,599,2.057245448,125536
NZ_CP026396.1,1004,2.059868821,144072
NZ_CP065638.1,683,2.065110006,93933
NZ_CP027614.1,398,2.079187309,100759
NZ_CP056310.1,697,2.081157917,97542
NZ_CP021857.1,577,2.085573222,106331
NZ_CP024544.1,732,2.093222686,71587
NZ_CP035537.1,586,2.140561504,108500
NZ_CP027409.1,650,2.151757346,220137
NZ_CP061387.1,974,2.154747856,114416
NZ_CP135707.1,689,2.155395381,70737
NZ_CP055131.1,707,2.15940922,138139
NZ_CP023418.1,302,2.168096761,138885
NZ_CP014577.1,674,2.185569587,93930
NZ_CP029731.1,479,2.204395772,108148
NZ_CP067436.1,836,2.204639468,128998
NZ_CP083777.1,751,2.20599329,69339
NZ_CP041250.1,193,2.212594934,83988
NZ_CP096979.1,693,2.226841278,63387
NZ_CP129210.1,683,2.243438354,94026
NZ_CP017672.1,405,2.246302312,108417
NZ_CP056532.1,725,2.254042194,111220
NZ_CP045950.1,678,2.27344632,93865
NZ_CP058121.1,764,2.29414729,67562
NZ_CP056688.1,632,2.313154939,75825
NZ_CP013326.1,664,2.31950645,77808
NZ_CP065719.1,695,2.339187972,93933
NZ_CP066072.1,408,2.342661808,48874
NZ_CP011615.1,612,2.357051211,113105
NZ_CP024430.1,850,2.385130185,131243
NZ_CP020064.1,725,2.407106517,83376
NZ_AP024177.1,649,2.412488957,69826
NZ_CP026403.1,943,2.418391227,103161
NZ_CP007730.1,933,2.428648027,113639
NZ_CP055318.1,627,2.437423749,127832
NZ_CP127083.1,719,2.437974347,76772
NZ_LR890337.1,698,2.46275568,62993
NZ_CP027616.1,803,2.467121427,129985
NZ_CP065625.1,405,2.473573537,57741
NZ_CP050151.1,576,2.499269833,85042
NZ_CP021753.1,800,2.538844021,116187
NZ_CP099345.1,707,2.558182766,98156
NZ_CP042547.1,414,2.579323386,173103
NZ_CP067435.1,869,2.607297183,136676
NZ_CP055522.1,157,2.643704737,45242
NZ_CP038393.1,834,2.73837667,99707
NZ_CP025040.1,717,2.74676822,83541
NZ_CP104453.1,775,2.751223153,128787
NZ_CP011986.1,952,2.752268852,113639
NZ_CP058809.1,678,2.782090869,93853
NZ_CP055365.1,610,2.799264241,123417
NZ_CP133338.1,732,2.863229668,148248
NZ_CP032198.1,574,2.978749354,58029
NZ_CP061382.1,905,3.003978875,136387
NZ_CP008919.1,408,3.025613207,48866
NZ_CP011621.1,664,3.027414439,77808
NZ_CP070078.1,715,3.047347665,60771
NZ_CM008895.1,573,3.128360011,119046
NZ_CP104837.1,606,3.135175848,84997
NZ_CP103747.1,732,3.181082352,89420
NZ_CP099346.1,707,3.264689612,72595
NZ_CP055484.1,721,3.367497462,82064
NZ_CP056427.1,171,3.410047966,82555
NZ_CP061400.1,748,3.481668583,128320
NZ_CP056157.1,611,3.502251597,125868
NZ_CP141996.1,686,3.697173631,61266
NZ_CP021541.1,1026,3.726486394,111531
NZ_CP056533.1,685,3.783685663,74689
NZ_CP055312.1,635,3.994969198,119319
NZ_CP104486.1,687,4.089877141,69202
NZ_CP026181.1,571,4.597467683,94405
NZ_CP034322.1,905,4.639602552,150094
NZ_AP027260.1,645,4.67986653,60729
NZ_CP023469.1,704,4.716225501,94044
NZ_CP056194.1,680,5.074119532,70240
NZ_CP025039.1,926,5.705704,146689
NZ_CP012928.1,735,5.788412291,62920
NZ_CP026174.1,574,5.976617029,93680
NZ_CP032181.1,663,6.549958339,81323
NZ_CP068284.1,826,9.963921298,67408
NZ_CP068280.1,841,11.28999624,67545
NZ_CP068282.1,841,11.74041885,67545
NZ_CP056485.1,361,11.76157269,162733
NZ_CP054888.1,34,0.125901202,51857
NZ_CP026826.1,40,0.28820195,224352
NZ_CP026868.1,43,0.496641554,145169
NZ_CP054887.1,46,0.509681606,176253
NZ_CP026796.1,40,0.613054541,226559
NZ_CP050866.1,40,0.662599049,233800
NZ_CP050863.1,39,0.782065177,233798
NZ_CP026099.1,49,0.868353245,229413
NZ_CP138847.1,48,0.869184567,225605
NZ_CP026873.1,44,0.974923249,166878
NZ_CP050984.1,48,1.00204225,231172
NZ_CP055125.1,39,1.002836323,255031
NZ_CP119451.1,39,1.038343856,203096
NZ_CP130064.1,48,1.059439,218629
NZ_CP045785.1,48,1.066077225,223637
NZ_CP085203.1,47,1.235073248,206206
NZ_CP049279.1,47,1.30317229,216073
NZ_CP049286.1,37,1.610287048,185316
NZ_CP119447.1,47,1.680583326,213746
NZ_CP045942.1,48,1.914188318,234182
NZ_CP054891.1,49,1.973832973,220335
NZ_CP034059.1,49,2.210292884,217451
NZ_CP127082.1,48,2.263180599,215531
NZ_CP049282.1,49,2.906433328,208836
NZ_CP055137.1,48,3.308085856,228903
NZ_CP033698.1,34,4.764977091,19216
NZ_CP019711.1,33,5.131027087,9605
NZ_CP033691.1,34,7.002221621,9611
NZ_CP009701.1,22,7.232924703,9608
NZ_CP006808.1,34,7.317615322,9610
NZ_CP045148.1,34,7.991878429,9610
NZ_CP009489.1,34,9.290560375,9610
NZ_CP009839.1,34,12.28470236,9612
NZ_CP009903.1,34,12.67215324,9609
NZ_CP045161.1,34,21.18464178,9611
NZ_CP077372.1,4,0.12820919,24345
NZ_CP116539.1,220,1.065095857,15523
NC_018743.1,1,1.297109697,58952
NZ_CP023513.1,3,1.811525845,20632
NZ_CP077371.1,39,1.884845371,47918
NZ_CP077409.1,2,0.129019192,17233
NZ_CP026422.1,5,1.000054745,13080
NZ_CP128956.1,56,31.44505916,6560
NZ_CP058528.1,88,0.131499635,214233
NZ_CP125646.1,73,0.262821148,127889
NZ_CP048472.1,83,0.281834204,177576
NZ_CP048512.1,92,0.287683561,175062
NZ_CP119419.1,78,0.289022332,184420
NZ_CP048546.1,81,0.290856439,177579
NZ_CP048500.1,139,0.295948839,209936
NZ_CP048505.1,140,0.299087115,209960
NZ_CP119539.1,88,0.318570752,214233
NZ_CP053445.1,71,0.346329023,142731
NZ_CP048521.1,88,0.347325797,214233
NZ_CP132057.1,101,0.350318637,194790
NZ_CP048511.1,140,0.352427754,209960
NZ_CP048476.1,81,0.369909805,177577
NZ_CP120213.1,77,0.378236434,132201
NZ_CP048567.1,140,0.40180468,209962
NZ_CP048554.1,142,0.402216311,252603
NZ_CP048531.1,81,0.404246587,177577
NZ_CP116704.1,98,0.437238472,194697
NZ_CP048517.1,91,0.442803827,175061
NZ_CP079858.1,77,0.458614554,131838
NZ_CP115929.1,103,0.477495476,197267
NZ_CP073112.1,76,0.482495837,181745
NZ_CP109972.1,137,0.482693041,248634
NZ_CP115846.1,89,0.482724937,206366
NZ_CP048561.1,142,0.508181689,252603
NZ_LR723673.1,99,0.51315585,150934
NZ_LR723671.1,155,0.514115909,227935
NZ_CP048516.1,140,0.522818211,209962
NZ_CP048535.1,143,0.525234812,252582
NZ_CP048542.1,81,0.530339235,177577
NZ_CP048480.1,81,0.530600955,177577
NZ_CP048587.1,81,0.533852501,177576
NZ_CP048495.1,82,0.533914006,184669
NZ_CP132318.1,37,0.548216769,158166
NZ_CP048572.1,143,0.554531694,252582
NZ_CP055271.1,103,0.560008625,204451
NZ_CP132307.1,51,0.58133551,134902
NZ_CP055272.1,94,0.59850413,200741
NZ_CP132306.1,28,0.599138967,137810
NZ_CP123851.1,81,0.607505689,177576
NZ_CP125097.1,81,0.624703603,177577
NZ_CP116686.1,159,0.624914794,186886
NZ_CP088153.1,76,0.633175034,175478
NZ_CP055273.1,79,0.637068418,150182
NZ_CP110835.1,85,0.638044318,178723
NZ_CP048553.1,283,0.65076868,472639
NZ_CP116699.1,104,0.654465938,227357
NZ_CP073113.1,165,0.66722896,245508
NZ_CP124736.1,76,0.668846369,190036
NZ_CP056050.1,180,0.690580172,370903
NZ_CP115926.1,283,0.713266145,485342
NZ_CP124966.1,93,0.727087314,219494
NZ_CP048484.1,142,0.74639432,252582
NZ_CP049215.1,224,0.755034518,397688
NZ_CP056051.1,125,0.761680568,258841
NZ_CP055267.1,128,0.770257428,266885
NZ_CP050897.1,126,0.774883408,208600
NZ_CP116734.1,121,0.781247701,245375
NZ_CP116687.1,102,0.785900515,222064
NZ_CP056045.1,180,0.786737832,370902
NZ_CP123846.1,81,0.801608986,177577
NZ_CP116691.1,43,0.869273135,155815
NZ_CP115843.1,318,0.870998705,632660
NZ_CP124969.1,141,0.87194915,255596
NZ_CP088152.1,67,0.887181207,293882
NZ_CP115844.1,47,0.897495296,164530
NZ_CP123842.1,102,0.90760808,209131
NZ_CP116698.1,326,0.916247522,719769
NZ_CP056046.1,125,0.973194287,258841
NZ_CP128217.1,179,0.985723434,252072
NZ_CP072170.1,205,0.992846649,396698
NZ_CP072169.1,220,0.993023644,403143
NZ_CP117263.1,116,0.996687726,430508
NZ_CP124965.1,319,1.006858594,804464
NZ_CP072153.1,106,1.03124881,420652
NZ_CP117262.1,326,1.035007977,756443
NZ_CP072175.1,297,1.038894591,605541
NZ_CP125649.1,77,1.06480713,199472
NZ_CP116685.1,288,1.076278379,494181
NZ_CP067074.1,297,1.126471908,605540
NZ_CP044124.1,166,1.169408358,252168
NZ_CP072148.1,106,1.190409519,420487
NZ_CP072164.1,187,1.19612996,455093
NZ_CP049208.1,201,1.208852907,289141
NZ_CP045382.1,65,1.244181608,152967
NZ_CP072160.1,96,1.257902397,196592
NZ_CP049210.1,85,1.31587383,176213
NZ_CP062114.1,51,1.358921067,120900
NZ_CP068127.1,10,0.135621546,58432
NZ_CP102628.1,27,0.61711598,104605
NZ_CP068129.1,7,1.013960394,76161
NZ_CP117228.1,27,1.02814579,104612
NZ_CP037938.1,8,1.056378934,29596
NZ_CP064844.1,24,1.080429387,86630
NZ_CP066025.1,19,1.350783269,84981
NZ_CP025083.1,35,1.618000492,58524
NZ_CP025569.1,35,2.14691377,58517
NZ_CP023514.1,9,2.27095736,147615
NZ_CP070516.1,7,4.894425604,23086
NZ_CP119361.1,237,0.146290518,24632
NZ_CP019757.1,217,0.371544562,31245
NZ_CP075092.1,274,0.379824305,29837
NZ_CP118296.1,236,0.405719362,35470
NZ_CP019923.1,286,0.408647149,28157
NZ_CP073157.1,222,0.417924651,89140
NZ_CP119364.1,236,0.44500131,35468
NZ_CP019760.1,232,0.470518891,30651
NZ_CP073140.1,210,0.530775284,89551
NZ_CP118304.1,236,0.540251178,35452
NZ_CP075094.1,237,0.549231489,32427
NZ_CP119389.1,236,0.583666533,35471
NZ_CP073230.1,78,0.586430331,37443
NZ_CP075097.1,255,0.58825475,38423
NZ_CP019850.1,232,0.604074669,30580
NZ_CP116882.1,242,0.607578836,35078
NZ_CP116880.1,258,0.615927478,39355
NZ_CP019766.1,219,0.626110846,52951
NZ_CP044645.1,140,0.626692171,3947
NZ_CP075389.1,218,0.643378082,60640
NZ_CP019855.1,219,0.652465349,52971
NZ_CP073142.1,202,0.65464823,184687
